"Country Name","Country Code","Year","average_value_Agricultural raw materials exports (% of merchandise exports)","average_value_Commercial service exports (current US$)","average_value_Commercial service imports (current US$)","average_value_Computer, communications and other services (% of commercial service exports)","average_value_Computer, communications and other services (% of commercial service imports)","average_value_Export unit value index (2000 = 100)","average_value_Export value index (2000 = 100)","average_value_Export volume index (2000 = 100)","average_value_Food exports (% of merchandise exports)","average_value_Fuel exports (% of merchandise exports)","average_value_High-technology exports (% of manufactured exports)","average_value_High-technology exports (current US$)","average_value_ICT goods exports (% of total goods exports)","average_value_ICT goods imports (% total goods imports)","average_value_Import value index (2000 = 100)","average_value_Insurance and financial services (% of commercial service exports)","average_value_Insurance and financial services (% of commercial service imports)","average_value_Manufactures exports (% of merchandise exports)","average_value_Manufactures imports (% of merchandise imports)","average_value_Merchandise exports (current US$)","average_value_Merchandise exports by the reporting economy (current US$)","average_value_Merchandise exports by the reporting economy, residual (% of total merchandise exports)","average_value_Merchandise exports to economies in the Arab World (% of total merchandise exports)","average_value_Merchandise exports to high-income economies (% of total merchandise exports)","average_value_Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","average_value_Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","average_value_Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","average_value_Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","average_value_Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","average_value_Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","average_value_Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","average_value_Merchandise imports (current US$)","average_value_Merchandise imports by the reporting economy (current US$)","average_value_Merchandise imports by the reporting economy, residual (% of total merchandise imports)","average_value_Merchandise imports from economies in the Arab World (% of total merchandise imports)","average_value_Merchandise imports from high-income economies (% of total merchandise imports)","average_value_Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports)","average_value_Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports)","average_value_Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports)","average_value_Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports)","average_value_Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports)","average_value_Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports)","average_value_Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports)","average_value_Net barter terms of trade index (2000 = 100)","average_value_Ores and metals exports (% of merchandise exports)","average_value_Ores and metals imports (% of merchandise imports)","average_value_Transport services (% of commercial service exports)","average_value_Transport services (% of commercial service imports)","average_value_Travel services (% of commercial service exports)","average_value_Travel services (% of commercial service imports)"
"Chile","CHL","1960","","","","","","","","","","","","","","","","","","","","488000000","489700000","0.857667959975495","0.347151317132939","91.9950990402287","","","6.71839901980805","0.347151317132939","0.0816826628548091","","7.14723299979579","625000000","498800000","1.34322373696872","","81.1347233360064","0.0400962309542903","","16.6800320769848","","0.801924619085806","","17.5220529270249","","","","","","",""
"China","CHN","2014","0.468830457280295","218086460963.646","430856051643.21","58.0939044758716","18.5584649097645","137.3198013","939.9136447","684.4705832","2.7107758627159","1.47061070335567","29.6964510283655","653870449086","25.9389723074","19.7096864075","870.67735","4.17497810316972","6.35809833306283","94.0039267774836","57.1477266942058","2342293000000","2343220000000","0.0924550610698099","4.85931189316411","71.0202093956607","9.74306723841551","4.59049762856241","4.63768148475175","2.84457524052372","3.6643789380852","3.40713501293092","19.144268304854","1959233000000","1963110000000","8.51071101308638","6.99091013605962","63.5043637190988","9.53746121409396","3.69050252023575","5.21224941816811","2.82216129279561","1.03142912190351","5.6911217006179","18.4474640537209","82.9487988","1.24906375146734","11.5069270526799","17.5356039239762","22.3178478596693","20.1955134969825","52.7655888975034"
"Cyprus","CYP","1974","1.8293160828068","","","","","","","","53.7553672772401","0.0333189153745545","","","","","","","","19.610446632478","63.8079422884118","152000000","158394000","13.1431746152001","16.8674318471659","71.5184918620655","0.0612396934227307","1.19827771253962","0.0107327297751177","13.2561839463616","0.0473502784196371","0.764549162215741","15.3383335227344","407000000","409583000","8.20541868192772","9.88981476281975","81.9980321448888","0.308362407619457","1.57648144576313","0.465839646665023","6.26686166173889","0.772737149735218","0.406266861661739","9.79654917318346","","18.5832991413855","1.39018650809082","","","",""
"Dominica","DMA","1962","","","","","","","","","","","","","","","","","","","","4000000","","","","","","","","","","","","7000000","","","","","","","","","","","","","","","","","",""
"Dominican Republic","DOM","1970","","38000000","84400000","32.3684210526316","7.93838862559242","","","","","","","","","","","1.28947368421053","4.11137440758294","","","249000000","213570000","5.03816079037318","","94.193941096596","","","0.767898113030856","","","","","304000000","","","","","","","","","","","","","","","23.1842105263158","44.1113744075829","43.1578947368421","43.8388625592417"
"Algeria","DZA","2012","0.0099028815529275","3570235657.68203","10469965825.0462","64.0881917608789","56.5851770280961","418.7091227","326.1997263","77.90604709","0.445064950240349","98.4004057063456","0.343094834134583","2215525","0.0011861575","4.0258257474","549.318504","9.16060744770599","2.20462103247452","0.898546423072711","67.4048887330328","71866000000","71865780592","0","4.21734258228789","80.6620530737726","4.14501694612025","3.82884366569631","5.6160452537397","4.07980858879919","1.48635823642457","0.181874235447392","15.2581383374282","50378000000","50349199810","0.0152891248104303","4.67613607541859","65.3772852125095","13.6449397029653","7.05996825652431","7.22064622222245","2.92217795427164","2.28733490372426","1.47235862297213","31.6852477084084","290.9305132","0.246080038788387","1.56603775789824","20.6682564123751","36.1559590224357","6.08294437904004","5.0542429169937"
"Fragile and conflict affected situations","FCS","1986","","","","18.3958622051594","","","","","","","","","","","","1.50014436217123","","","","42635438139.923","36883664791.817","12.4694466079209","3.38811311694908","73.1574328808898","0.775478541393756","2.7751418975562","5.74012507271489","2.2296102580226","0.772338373525226","2.08042636797651","7.37037289421855","49214249686.9525","40143317599.9","8.73501589889632","3.60294922530109","77.9117096576183","1.82735318062937","2.56956453269674","3.59054230100427","1.99567871469385","0.757642383283973","2.61249333117714","7.17895530985526","","","","36.8266512088045","","43.412040117068",""
"Fiji","FJI","2008","6.2038562366437","1096152891.00875","618503742.221585","6.20471436918218","19.5467167151312","168.8286265","157.5916239","93.34413669","67.6650099304431","0.0480727520454146","3.95530038506837","5262584","0.5323739193","4.9284359425","272.7566265","0.0409446778498663","8.28254560674751","21.6031368409596","47.6475757388798","922000000","763569882","0.004314732780411","0.0827110936258746","77.1687512682696","21.5756170959085","0.0638139365481154","0.680784316215343","0.0047516279590504","0.257267349892672","0.244699672426315","1.2513169030415","2264000000","2300061659","1.87530559588359","0.565641792649003","83.467101000878","10.5393960223394","0.0311769033318772","0.172920016489001","0.134664433359002","3.59470524089981","0.184730786819311","4.118197380899","92.12893845","1.1506532861719","1.05560463457897","33.7500249858498","57.1898464044048","60.0043159671182","14.9808912737165"
"United Kingdom","GBR","1998","0.531653473043908","110721079717.173","85796919291.7656","41.3145203757735","29.4599224249254","","96.12347591","","6.40258279682501","4.14103276192785","","","","","92.42954105","20.0562009709957","4.91608419574566","84.2963509152087","82.2503207607273","273949000000","268181000000","9.40573498239401","4.45670207492209","80.7849914271783","1.70958715141349","1.91567339821501","1.75645593315224","1.33741758699192","1.07377668181862","2.01636283883642","9.8092735904277","321231000000","309792000000","9.22871873556499","1.55824391754164","79.9807816107785","4.59633481788939","1.5322062616074","1.44946754558349","0.589451454622101","1.27251032391508","1.35052925003903","10.7904996536565","","2.06261180505803","2.97770873545006","17.2339504629802","26.6347782799776","21.3953281902506","38.9892150993513"
"Ghana","GHA","2003","6.37764609032509","612305000","752619071.621184","10.906329362001","33.9982747778135","135.8549425","139.1040644","102.3916111","40.1737817595415","0.0481803318787904","","","0.0122425296","3.6444970707","107.8704544","1.11741697356709","4.72111165308296","4.59102896560224","61.5045335726245","2324000000","2311777730","0.0165052199892937","0.649135892489111","86.4703154225817","1.80535016227533","0.901831033730046","0.0679712837271774","0.30474603628957","0.613295465909692","9.81998537549715","3.69319398193182","3210000000","3210187244","0.777284441791894","2.25664338226372","56.0461300306631","10.1611633903807","1.48917668554539","2.86172911476437","0.663901429420794","3.18519644581829","24.8154184616154","18.3611670659296","130.9771189","2.46857072038619","1.83729952659254","20.2934811899299","42.9258213673723","67.6827724745021","18.3547922017312"
