"Country Name","Country Code","Year","average_value_Current account balance (BoP, current US$)","average_value_Debt service (PPG and IMF only, % of exports of goods, services and primary income)","average_value_Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)","average_value_Debt service on external debt, total (TDS, current US$)","average_value_Exports of goods, services and primary income (BoP, current US$)","average_value_External debt stocks (% of GNI)","average_value_External debt stocks, long-term (DOD, current US$)","average_value_External debt stocks, private nonguaranteed (PNG) (DOD, current US$)","average_value_External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)","average_value_External debt stocks, short-term (DOD, current US$)","average_value_Foreign direct investment, net inflows (BoP, current US$)","average_value_GNI (current US$)","average_value_Grants, excluding technical cooperation (BoP, current US$)","average_value_IBRD loans and IDA credits (DOD, current US$)","average_value_IFC, private nonguaranteed (NFL, current US$)","average_value_IMF repurchases and charges (TDS, current US$)","average_value_Imports of goods, services and primary income (BoP, current US$)","average_value_Multilateral debt service (% of public and publicly guaranteed debt service)","average_value_Multilateral debt service (TDS, current US$)","average_value_Net ODA received (% of GNI)","average_value_Net ODA received per capita (current US$)","average_value_Net financial flows, IDA (NFL, current US$)","average_value_Net financial flows, IMF concessional (NFL, current US$)","average_value_Net financial flows, IMF nonconcessional (NFL, current US$)","average_value_Net financial flows, RDB concessional (NFL, current US$)","average_value_Net financial flows, bilateral (NFL, current US$)","average_value_Net financial flows, multilateral (NFL, current US$)","average_value_Net financial flows, others (NFL, current US$)","average_value_Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)","average_value_Net official development assistance received (current US$)","average_value_PNG, commercial banks and other creditors (NFL, current US$)","average_value_PPG, IDA (DOD, current US$)","average_value_PPG, official creditors (NFL, current US$)","average_value_Personal remittances, received (current US$)","average_value_Portfolio equity, net inflows (BoP, current US$)","average_value_Present value of external debt (% of GNI)","average_value_Present value of external debt (% of exports of goods, services and primary income)","average_value_Present value of external debt (current US$)","average_value_Public and publicly guaranteed debt service (% of GNI)","average_value_Public and publicly guaranteed debt service (% of exports of goods, services and primary income)","average_value_Short-term debt (% of exports of goods, services and primary income)","average_value_Short-term debt (% of total external debt)","average_value_Short-term debt (% of total reserves)","average_value_Technical cooperation grants (BoP, current US$)","average_value_Total debt service (% of GNI)","average_value_Total debt service (% of exports of goods, services and primary income)","average_value_Total reserves (% of total external debt)","average_value_Total reserves (includes gold, current US$)","average_value_Total reserves in months of imports","average_value_Use of IMF credit (DOD, current US$)"
"Guyana","GUY","2010","-246354258.11448","2.42142228555674","27135270.4","31981078.2","1197026985.87065","40.874035865411","885320305.4","36000","885284305.4","333317712.7","198000000","3445693233.08364","98340000","9411000","0","1849807.8","1814134531.28903","59.6532190812442","16187062.3","3.08820305419006","141.987915698743","-127000","","-1414539.5","44967000","50847941.7","56295000","-2359954","43000","106410003.662109","43000","9411000","107142987.7","367805406.291253","","","","","0.787512658975621","2.26688877696966","27.8454635220745","23.6664","42.6202859494114","10800000","0.928146414571541","2.67170904060603","55.5285943296084","782063529.783998","5.17313473479811","189759833.9"
"Iran, Islamic Rep.","IRN","2011","","1.21880767527287","1503956397.9","1653826970.1","","2.97176511762023","4750904847.8","0","4750904847.8","10320000000","4276718690","580809428095.791","61920000","738914000","-1272720","2404572.2","","7.34920789953308","110528882.4","0.018214236167337","1.41743229088566","","","","","-321418770.4","-71613000","","","105790000.915527","","","-393031478.8","1330000000","","","","","0.258941457412423","","","59.7904","","75590000","0.284745200421788","1.33812349412993","","","","2189387136.2"
"Italy","ITA","2006","-28321585638.5411","","","","614089749648.403","","","","","","56995485107.0102","1955647597541.09","","","","","622040980854.98","","","","","","","","","","","","","","","","","4075828470.64871","21624246685.1931","","","","","","","","","","","","","75773325816.1903","1.46176849722104",""
"Jamaica","JAM","2013","-1356845226.21027","22.8188241418479","774234790.7","1217707759","4608260059.60377","92.9863534647118","10271767866.3","2820087000","7451680866.3","1439695134.3","544747561.767059","13929404958.6695","118760000","779125000","-8100337","277315968.3","8122956317.12734","28.6447941198156","221777961.8","0.513948704559228","25.0427627628863","","","2158580.1","-3310000","23807027","132496000","11473859.2","999881000","71589996.3378906","-119000","","156302886.2","2171887541.09194","-13931739.7629184","","","","5.55827612878846","16.8010220926327","31.2416208217161","11.1165","79.1753085059407","14280000","8.74199409531932","26.4244583259197","14.0403942494115","1818363782.17835","2.6862591074301","1239482321"
"Jordan","JOR","2009","-1243195602.74394","4.72951056555916","551831818.2","721559750.5","12022253521.1268","57.9753942025586","5659584209.3","198205000","5461379209.3","8518031520.8","2413098591.5493","24913369014.0845","730650000","1108676000","41222883.71","16761932.3","17043899828.096","50.627877803658","279380738.6","2.97197854891311","107.412196512905","-2566000","","-15850550","","-67068157.1","427497000","190053473.4","5000000","740419982.910156","5000000","34308000","360429316.3","3465211267.60563","-29577464.7887324","","","","2.21500278781255","4.59008635303076","70.8522034228542","58.9743","70.1929943449918","69840000","2.89627528935197","6.00186769670093","84.0174122979654","12135159071.4804","8.54393127902067","266008204"
"Kiribati","KIR","2005","","","","","","","","","","","2606016.1745","159027796.869034","14850000","","","","","","","16.7517879981621","288.564644218941","","","","","","","","","26639999.3896484","","","","0","","","","","","","","","","11480000","","","","","",""
"St. Kitts and Nevis","KNA","2001","-107408518.518519","","21695000","","157577037.037037","","","0","214558000","","88230740.7407407","424024024.024024","4810000","7950000","","95000","281048518.518519","22.6227241299839","4908000","2.38901560772579","227.119862661784","-17000","0","0","0","4459000","9519000","7460000","0","10130000.1144409","0","1363000","13978000","24759259.2592593","","","","","5.11645538243626","13.7678689788416","","","","1050000","","","","56429365.4519954","2.40937895347535","2042000"
"Korea, Rep.","KOR","2005","12208600000","","","","347266600000","","","","","","13643200000","928297917610.366","","","","","331799700000","","","","","-3467866.28","","","","","","","","","","","","5200400000","3282100000","","","","","","","","","","","","","210552008738.697","7.61490774363076",""
"Liberia","LBR","1973","","","17217674.7","20115267.5","","","158992681.9","","158992681.9","88050.2","74840000","","1500000","18664000","0","2897592.8","","11.2881886425697","1943563.6","","6.79493170852781","217000","","429273","","-5592776.4","6179000","","","10289999.961853","","217000","586298.5","","","","","","","","","0.0553","","9740000","","","","","","72384"
"St. Lucia","LCA","1994","-48377777.7777778","3.01992889484724","10345381.6","10845381.6","342570370.370371","17.6608901084202","103587527.8","","103587527.8","10011000","32522222.2222222","643220851.851852","18560000","7214000","0","","408111111.111111","62.8399197957087","6501029.5","4.8972292967976","217.12158808933","170000","","","","131811.1","2991000","1790546.3","","31500000","","5702000","3122357.4","21781480.79","","","","","1.60837161454193","3.01992889484723","2.92231928557528","8.8126","17.3228492132914","7130000","1.6861054129038","3.16588430817134","50.8727755961424","57790724.1282155","1.69926441760068",""
