"Country Name","Country Code","Year","average_value_Current account balance (BoP, current US$)","average_value_Debt service (PPG and IMF only, % of exports of goods, services and primary income)","average_value_Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)","average_value_Debt service on external debt, total (TDS, current US$)","average_value_Exports of goods, services and primary income (BoP, current US$)","average_value_External debt stocks (% of GNI)","average_value_External debt stocks, long-term (DOD, current US$)","average_value_External debt stocks, private nonguaranteed (PNG) (DOD, current US$)","average_value_External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)","average_value_External debt stocks, short-term (DOD, current US$)","average_value_Foreign direct investment, net inflows (BoP, current US$)","average_value_GNI (current US$)","average_value_Grants, excluding technical cooperation (BoP, current US$)","average_value_IBRD loans and IDA credits (DOD, current US$)","average_value_IFC, private nonguaranteed (NFL, current US$)","average_value_IMF repurchases and charges (TDS, current US$)","average_value_Imports of goods, services and primary income (BoP, current US$)","average_value_Multilateral debt service (% of public and publicly guaranteed debt service)","average_value_Multilateral debt service (TDS, current US$)","average_value_Net ODA received (% of GNI)","average_value_Net ODA received per capita (current US$)","average_value_Net financial flows, IDA (NFL, current US$)","average_value_Net financial flows, IMF concessional (NFL, current US$)","average_value_Net financial flows, IMF nonconcessional (NFL, current US$)","average_value_Net financial flows, RDB concessional (NFL, current US$)","average_value_Net financial flows, bilateral (NFL, current US$)","average_value_Net financial flows, multilateral (NFL, current US$)","average_value_Net financial flows, others (NFL, current US$)","average_value_Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)","average_value_Net official development assistance received (current US$)","average_value_PNG, commercial banks and other creditors (NFL, current US$)","average_value_PPG, IDA (DOD, current US$)","average_value_PPG, official creditors (NFL, current US$)","average_value_Personal remittances, received (current US$)","average_value_Portfolio equity, net inflows (BoP, current US$)","average_value_Present value of external debt (% of GNI)","average_value_Present value of external debt (% of exports of goods, services and primary income)","average_value_Present value of external debt (current US$)","average_value_Public and publicly guaranteed debt service (% of GNI)","average_value_Public and publicly guaranteed debt service (% of exports of goods, services and primary income)","average_value_Short-term debt (% of exports of goods, services and primary income)","average_value_Short-term debt (% of total external debt)","average_value_Short-term debt (% of total reserves)","average_value_Technical cooperation grants (BoP, current US$)","average_value_Total debt service (% of GNI)","average_value_Total debt service (% of exports of goods, services and primary income)","average_value_Total reserves (% of total external debt)","average_value_Total reserves (includes gold, current US$)","average_value_Total reserves in months of imports","average_value_Use of IMF credit (DOD, current US$)"
"Afghanistan","AFG","1990","","","","","","","","","","","10","","81680000","","","","","","","","9.88695829654147","","","","","","","","","122720001.220703","","","","","","","","","","","","","","52490000","","","","637925667.368511","",""
"Afghanistan","AFG","1994","","","","","","","","","","","20000","","173660000","","","","","","","","13.2597566656569","","","","","","","","","226419998.168945","","","","","","","","","","","","","","52820000","","","","","",""
"Africa Western and Central","AFW","1969","","","","","","","","","","","","16345335136.1422","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Africa Western and Central","AFW","1989","","19.8398876068532","","","23430418303.3899","","","","","","2569136447.96858","96714866195.6781","","","","","26348967076.2844","","","6.0822810609849","29.5033999489144","","","","","","","","","5882469989.77661","","","","637025980.609591","570518.072075741","","","","4.08239609788238","17.5183265834712","19.062081066468","","114.141476603397","","5.8266289777368","","","","3.19041808710065",""
"Angola","AGO","1973","","","","","","","","","","","7540000","","80000","","","","","","","","0.024625677598424","","","","","","","","","159999.996423721","","","","","","","","","","","","","","80000","","","","","",""
"Antigua and Barbuda","ATG","1989","-81648148.1481482","","","","292140740.740741","","","","","","43107407.4074074","393313307.037037","2970000","","","","385596296.296296","","","1.10344605049918","69.9921001272097","","","","","","","","","4340000.15258789","","","","13196296.69","0","","","","","","","","","1420000","","","","28070000","0.873556108384321",""
"Belgium","BEL","2008","-4300219760.99251","","","","521519326271.802","","","","","","190391844688.586","527755090083.492","","","","","517467211019.406","","","","","","","","","","","","","","","","","10479068216.8072","8794547010.74505","","","","","","","","","","","","","15680647981.365","0.363632268420817",""
"Belize","BLZ","2012","-33113119.8533949","9.28168483824913","93708991","154688151.7","1039521955.13461","85.2898615954944","1158205364.5","173467000","984738364.5","6138014.7","194201408.788436","1402697506.07849","21510000","11280000","0","2776160.7","1148414699.64504","26.0076677167509","24371523","1.86854250263464","77.5441465690122","","","-2693109.2","","-2206428.7","7801000","107625","-45007000","26209999.0844727","-45007000","","5594196.3","75945646.6882625","","","","","6.68062719110277","9.01462355240637","0.59046513348582","0.513","2.12443354227287","5360000","11.0279052347117","14.880700781348","24.1503020984721","288924768.784865","3.01902895050892","32017509.4"
"Bermuda","BMU","1978","","","","","","","","","","","","","0","","","","","","","","2.98507456014405","","","","","","","","","159999.996423721","","","","","","","","","","","","","","160000","","","","","",""
"Botswana","BWA","1972","","","1637472.8","1637472.8","","45.2383538004942","74756512","","74756512","","","164459109.730849","2670000","18941000","0","","","40.611361605518","665000","19.098972321337","47.0846772389762","857000","","","","31673344.3","13348000","","","31409999.8474121","","6450000","45021344.3","","","","","","0.995671691692763","","","0","","4430000","0.995671691692763","","","","",""
"Botswana","BWA","1999","583453155.307172","2.1428863083622","73037640.9","74028575.9","3419153672.0396","9.77004159294559","484498471.4","","484498471.4","19710000","36675065.7829259","5221996626.5894","32770000","33894000","0","230935","3087495602.80342","78.1735807679955","57096139.2","1.16602908319795","37.8137688259339","-477000","","","-1129376","-4407020.1","-35865000","-6747019.2","","60889999.3896484","","9604000","-40272141.2","26360203.531478","-7503683.86006797","","","","1.39865354428049","2.13613215156929","0.576458442367773","3.8632","0.316431968558283","27310000","1.41762971509903","2.16511403115264","1220.88082189286","6228827033.43851","24.2092407624463","5982771"
"Cote d'Ivoire","CIV","1993","","19.3741896542523","570883340.2","1093853441.3","","197.032536957745","13727302379.9","2616700000","11110602379.9","5125005212.4","175153533.4772","9679054334.15289","212050000","1865019824.5","0","67003101.1","","80.2318428209056","458030224.2","7.88951046785963","57.5384895883095","2721000","","-49330357.7","1019366.6","470563511.4","-140905000","-3060106.3","1000000","763630004.882813","1000000","112735000","329658413.9","57564102.17","","","","","5.89813137204549","","","26.8734","","123130000","11.3012429059345","33.2230357217075","","","","218578715.8"
"Germany","DEU","1971","106579704.590852","","","","46860998879.8682","","","","","","1103338754.95766","250910911169.353","","","","","44091579748.7821","","","","","","","","","","","","","","","","","209930938.7","107530842.932739","","","","","","","","","","","","","19312523394.8587","5.25611198461778",""
"Djibouti","DJI","1972","","","258138.5","258138.5","","","5368001.3","","5368001.3","","","","6320000","","0","","","","","","74.4823913671268","","","","","2722944","","","","13350000.3814697","","","2722944","","","","","","","","","0","","5100000","","","","","",""
"Denmark","DNK","2002","3460409556.63061","","","","91404296343.5919","","","","","","4430703178.95052","176412403257.882","","","","","84920769553.7091","","","","","","","","","","","","","","","","","784859296.829619","590808585.696708","","","","","","","","","","","","","27719142484.4471","3.91694177480327",""
"Algeria","DZA","2007","30353590751.3885","1.12933325064654","751141705.1","1368408996","67127572447.3702","4.61387511977881","5177409897.9","1148490000","4028919897.9","749690000","1686736539.70385","132998048848.07","162300000","112701000","-27784637.48","6952290.9","38979113322.535","3.15164080748896","23673288.5","0.297004364490237","11.5611639076758","","","","-4592.7","-32998803.8","-10173000","-4283848.2","-227920000","395010009.765625","-227920000","","-43172244.7","99004563.3476434","0","","","","0.564776484772394","1.11897641716288","1.11681381087895","12.229","0.652061581353161","228250000","1.02889403856082","2.03852000915551","1875.44994945594","114972269711.741","35.3950390078079","203283360"
"Algeria","DZA","2010","12220267767.3086","0.604873213157269","388279985.7","676192756.3","65168162141.3629","4.51152657046799","3629509109.6","967500000","2662009109.6","1778220000","2300369124.15828","160817183340.951","74560000","9170000","0","5904770.6","55612442203.5818","0.847699655202702","3291448.1","0.125142099755178","5.59378150497655","","","","","-126267866.7","-2257000","-1725917.9","-231790000","201250000","-231790000","","-128524784.6","196589288.017747","0","","","","0.241441851942402","0.595812392035458","2.72866372407846","24.5171","1.04318208495443","186240000","0.420472950870177","1.03761213157002","2350.22528729144","170461132878.607","36.7819414773253","1845240799.3"
"East Asia & Pacific (excluding high income)","EAP","1960","","","","","","","","","","","","78593874922.5551","","","","","","","","0.663970323208843","0.58314240972967","","","","","","","","","521840005.345643","","","","","","","","","","","","","","","","","","","",""
"Euro area","EMU","2019","312826085283.442","","","","7982972676293.06","","","","","","176130456426.683","13424994851857.4","","","","","7396041284409.98","","","","","","","","","","","","","","","","","87445791827.6965","508310112264.277","","","","","","","","","","","","","914226843967.921","1.96753729198672",""
"Eritrea","ERI","1995","-31470548.1934117","0.105442803141601","150000","150000","142266859.134661","6.26564470890859","36689461.6","","36689461.6","0","","585565625","103230000","24312000","0","","497734193.966911","100","150000","25.3242312996315","67.2752821220922","5379000","","","","1843000.1","5379000","","","148289993.286133","","24312000","7222000.1","","","","","","0.0256162577849408","0.105435658671581","0","0","0","41960000","0.0256162577849408","0.105442803141601","110.360074288685","40490517.0778784","0.976196152131035",""
"Eritrea","ERI","1982","","","","","","","","","","","","","4500000","","","","","","","","2.44987954758891","","","","","","","","","4500000","","","","","","","","","","","","","","","","","","","",""
"Gabon","GAB","2017","","","617974640.3","624129142.1","","46.4710326205319","5879617176.6","","5879617176.6","207296489.4","1314029329.7202","13985729747.5427","25930000","335548000","9056574","679501.8","","13.568846394618","83852029.7","0.760417943102371","51.5058990717416","","","198109456.3","-59629.8","64458486.3","785763000","-27024341.4","","106349998.474121","","","850221886","18458042.2530413","","","","0","4.41860847774909","","","3.1895","21.4802946065825","27340000","4.46261405994677","","14.8485572903215","965054219.212037","","412399367.2"
"Gibraltar","GIB","1964","","","","","","","","","","","","","130000","","","","","","","","20.0172694270844","","","","","","","","","509999.990463257","","","","","","","","","","","","","","360000","","","","","",""
"Gambia, The","GMB","1961","","","","","","","","","","","","","1430000","","","","","","","","3.83958572089677","","","","","","","","","1429999.94754791","","","","","","","","","","","","","","","","","","","",""
"Grenada","GRD","1992","-32392592.5925926","5.9414731863468","6118177","6478177","102974074.074074","38.4808770749112","105813445.4","","105813445.4","11485275.3","22581481.4814815","304823407.407407","5070000","6834000","0","","147370370.37037","50.2954425803634","3077164.2","4.2418003312634","133.078090027643","8000","","","","-481631.9","6516000","6507761.9","","12930000.3051758","","6834000","6034130","8596296.31","","","","","2.00712177979916","5.9414731863468","11.1535601589756","9.7914","44.3789617465224","3740000","2.12522294632764","6.29107574722153","22.0633267315762","25880000","2.1073435536567","0"
"Heavily indebted poor countries (HIPC)","HPC","2018","","7.75548185810257","","","183971447366.732","","","","","","29373606342.8437","747023234969.141","","","","","270907996852.526","","","5.44717859800642","52.1531568119234","","","","","","","","","40691689777.3743","","","","29354757740.3886","-25998395.2286847","","","","1.73006005893822","7.20838939218892","11.8586034378674","","23.1227635068974","","2.41192378065371","","30.2437519494296","","5.42843196218276",""
"IDA blend","IDB","1967","","","","","","","","","","","","18540027128.9663","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IDA only","IDX","1970","","","","","","","","","","","266050000","","","","0","","","","","","3.08120971127611","52908000","","","","","","","","1029140004.23253","","","","","0","","","","1.76332649216553","","","","30.6736630175243","","2.18540395376849","","","","",""
"Iran, Islamic Rep.","IRN","1996","5232000000","26.1238455764775","6201539701.4","6468416701.4","23739000000","14.0592564057799","11929261304.9","0","11929261304.9","4754917488.2","26000000","119853962532.146","42700000","387289000","0","","18970000000","1.20599082810219","74790000","0.13725036413033","2.64066480285495","","","","","-3929809310.5","193370000","83370000","","164500000","","","-3736439310.5","658000000","0","","","","5.17424670021793","26.1238455764775","20.0299822578879","28.4995","","97190000","5.39691518306298","27.2480588963309","","","",""
"Jordan","JOR","1964","","","","","","","","","","","","","51490000","","","","","","","","68.5320472819019","","","","","","","","","75550003.0517578","","","","","","","","","","","","","","19470000","","","","77080000","",""
"Kyrgyz Republic","KGZ","2020","","","","","","","","","","","","7406338903.47666","","","","","","","","","","","","","","","","","","","","","","2200000000","","","","","","","","","","","","","","2811615193.09799","",""
"Kiribati","KIR","1983","4854889.35198689","","","","15949334.0299825","","","","","","-900888.727405249","45486486.4864865","11920000","","","","26769908.534847","","","36.0986335604798","265.971233579984","","","","","","","","","16420000.0762939","","","","2252221.823","0","","","","","","","","","4420000","","","","","",""
"Kiribati","KIR","2008","-5247202.17926629","","","","92354781.2091795","","","","","","-1267679.26219092","205334675.390035","16170000","","","","125546678.392196","","","13.1395242868685","273.18752067878","","","","","","","","","26979999.5422363","","","","14372521.4049296","","","","","","","","","","10810000","","","","","",""
"Lao PDR","LAO","1991","-29600000","6.17754582425563","8335412.2","8506480.6","137700000","182.195597725916","1852016893.5","","1852016893.5","158332.5","6900000","1028087972.31085","50140000","146944465.1","0","171068.4","249900000","61.4085887678116","5118659","10.6099871576043","24.9084661452334","14555000","11962473.7","","26093000","60094180.6","40659000","11309.7","","109080001.831055","","146944465.1","100753233.2","10399999.62","1100000","","","","0.810768380186802","6.05331314451707","0.114983660130719","0.0084","0.456180698100016","34120000","0.827407851186107","6.17754582425563","1.85295557073257","34708285.698946","1.66666437930113","20955800.3"
"Lebanon","LBN","2019","-11539788230.5333","24.0787073498941","5058690883","18541752714.9","21019997632.565","144.933836723223","68754517149.1","35429570000","33324947149.1","4963206000","2223271880.25471","51372863733.3345","1458130000","535836000","-33308420","2652831.9","35457828571.7496","3.20984239510805","162376004.6","2.96944705701608","222.513818809168","","","","","-67917308.9","6701000","-19541236.7","-5383690000","1525489990.23438","-5383690000","24822000","-61216545.6","7409908588.52771","343627686.640936","81.1890957542066","197.169149083399","41444950469.479","9.84700971559339","24.0660868351521","23.6118294909359","6.7083","9.50560193496538","119400000","36.0925036438425","88.2100609096853","70.5730631793866","52213484574.221","17.6706200049107","267282208.4"
"Lebanon","LBN","1960","","","","","","","","","","","","","9020000","","","","","","","","7.4296303453654","","","","","","","","","13409999.8474121","","","","","","","","","","","","","","4390000","","","","140193600","",""
"Lebanon","LBN","1965","","","","","","","","","","","","","1080000","","","","","","","","3.79473270898055","","","","","","","","","7940000.05722046","","","","","","","","","","","","","","5990000","","","","251644720","",""
"St. Lucia","LCA","2000","-94803703.7037037","7.17704088175183","27270175.1","30112627.8","380555555.555555","26.4993789867344","153491401.4","","153491401.4","67770000","53748148.1481481","838614518.518518","10410000","17598000","0","42452.7","494229629.629629","39.0873016433253","10659175.6","1.32241928892184","70.7554703266485","598000","","","","-3951886.6","9017000","8056798.9","","11090000.1525879","","11635000","5064912.3","23829629.6296296","","","","","3.25181290066084","7.16588542773723","17.8081751824818","30.4957","85.9713532667866","4350000","3.59075917898446","7.9128073051095","35.471997849604","78828583.5046657","1.9139746897912","966238.1"
"St. Lucia","LCA","2002","-106003341.111111","5.28682167238238","17045798.9","20330055.9","322784783.703704","35.5091208801488","196801974.2","","196801974.2","89000000","51935414.8148148","807708518.518518","15160000","26017000","0","19257","440877939.629629","57.8797905447541","9866072.7","4.12153643948031","208.856159126727","7147000","","","","-53647.3","10974000","3505778.7","","33290000.9155273","","20068000","10920131.4","24561711.1111111","","","","","2.11038988808302","5.28085577777637","27.5725512766724","31.0309","94.7895815092522","4450000","2.51700402235313","6.29833155910525","32.7366938692912","93892175.2611735","2.55559646300425","1008220"
"Liechtenstein","LIE","2013","","","","","","","","","","","1154916692.2121","5110583665.98339","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Low & middle income","LMY","2000","","13.6786771757357","162381212813.6","320927314017","1497598386205.71","36.1552344238637","1687145035229.9","441484564447.8","1245660470782.1","275348114331.4","142412494327.253","5779492731982.47","27690090000","190419086119","0","24127856624.5","1560958857305.18","22.2080264332647","36061662664.3","0.832912699065506","9.59821590708553","4274496000","83693786.6","-10503860704.4","1242601361.1","-7080497910.7","11114533000","-2580365986.2","-7785861000","48138128906.25","-3392638000","87039123119","4034043674.7","74221585624.6735","14881860702.2975","","","","2.86176608483716","11.8454068721241","19.4544100799513","13.4968137454965","43.9717603767794","13998590000","5.70054385059984","23.6324577888174","29.795094774685","","7.2122090342942","77603413543.4"
"Morocco","MAR","1968","","","","","","","","","","","","3224385179.33011","25230000","","","","","","","2.8746566333202","6.05529402743196","","","","","","","","","92690002.4414063","","","","","","","","","","","","","","19150000","","","","89140000","",""
"Myanmar","MMR","2008","1247028551.03206","1.37498655529822","87986927.8","88535450","6439004778.54473","28.1222839264162","7832738750","","7832738750","1057589468.5","863880447.312828","31819907102.0199","506390000","770330000","0","548522.2","5499900985.05498","4.03430315020046","3549659.4","1.68004898676003","10.7068668118123","","","","","145026018.5","3305000","3305048.7","","534590026.855469","","770330000","148331067.2","54744020.1698431","","","","","0.276515350965354","1.36646781336736","16.4247349532023","11.807","26.9743950405374","35260000","0.278239184407864","1.37498655529822","43.7712322363111","3920716171.43089","8.55444383181025","66961698"
"Mozambique","MOZ","1985","","28.7208748502994","52760247.1","63308247.1","","","2664399842.3","11427000","2652972842.3","158208724.3","330000","","174140000","5085684.6","0","","","7.43339202442818","3921876","","23.1652369026323","4705000","","","-66185.5","307102718.8","10301000","5262000","-1467000","295690002.441406","-1467000","5085684.6","317403846.7","40799999.24","0","","","","","","","5.605","344.784465498047","46320000","","34.4628454545455","1.62566884655411","45886268.1273836","",""
"Malawi","MWI","1972","","","8942241.3","9463377.3","","43.7561206363704","175657679.9","","175657679.9","0","10100000","401447105.788423","2580000","34233000","0","521136","","4.34411337121936","388461.1","9.00990383226431","7.29446197016738","9583000","","-521136","","15938535","10307000","","","36169998.1689453","","34233000","26245725.1","","","","","","2.22750174831572","","","0","0","11010000","2.35731611052828","","20.6294214114392","36237163.0281279","","0"
"Malaysia","MYS","1998","9528651059.08584","","","","84941678611.2438","","","","","","2163401815.57573","68264115368.936","21000000","","0","","72950469820.035","","","0.295528630822875","9.1224610319651","","","","","","","","","201740005.493164","","","","189584328.714763","0","","","","","","","","","79940000","","","","26235700001.07","4.31564595525574",""
"Nepal","NPL","2011","288604650.246019","8.99735950964327","188844616.6","197296421.5","2150146621.26878","20.1190041573439","3528236477.6","","3528236477.6","84000000","94022157.1167852","21726165703.5476","610130000","1426053000","-8341363.8","4611804.9","6587556414.47467","81.3738476990824","153670130.7","3.44892889775698","27.7102884900984","4036000","","-4496944.2","4756000","-3857352.6","23989000","15197245.4","","749320007.324219","","1426053000","20131892.8","4216894009.62725","","","","","0.869203609954811","8.78287158336042","3.90671032240733","2.1953","2.26873601469156","146070000","0.908105112480956","9.17595198152475","96.766144379627","3702502162.26324","6.74453820987915","214000669.7"
"New Zealand","NZL","1985","","","","","","","","","","","225366591.3797","23207174424.5524","","","","","","","","","","","","","","","","","","","","","","256343048.1","0","","","","","","","","","","","","","1603038944.8594","",""
"Other small states","OSS","1975","","","","","","","","","","","241323459.51375","","","","0","","","","","","31.4073828635788","6844000","","","","","","","","383780002.310872","","","","194648131.411139","96080910.4831376","","","","","","","","","","","","23.6858658521298","","",""
"Paraguay","PRY","1987","-489800000","27.6030402537204","226289724","245084724","819800000","","2341848741.3","28359000","2313489741.3","268242777.2","5300000","","15300000","416433000","0","","1336500000","44.7143541966581","101183988.7","","15.2451681018198","-924000","","","21074000","-729960.6","61579000","5865241.2","-2527000","59330001.8310547","-2527000","44100000","60849280.6","22700000.76","0","","","","","27.6030402537204","32.7205144181508","10.2771","52.170686265366","31860000","","29.8956726030739","19.6990712877751","514163788.905486","4.61650988916261",""
"French Polynesia","PYF","1984","","","","","","","","","","","1000000","1378991403.37881","17440000","","","","","","","12.4757843206709","998.786601293087","","","","","","","","","172039993.286133","","","","","","","","","","","","","","114400000","","","","","",""
"Romania","ROU","1974","-359000000","0.0145420207743154","","","5295000000","","","","","","0","","","0","","","5654000000","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","696928015.312408","1.47915390586291",""
"Rwanda","RWA","1968","","","","","","","","","","","","172200018","9470000","","","","","","","9.33797807367599","4.55544854133747","","","","","","","","","16079999.9237061","","","","","","","","","","","","","","6490000","","","","5780000","",""
"Senegal","SEN","1990","-363286052.313781","18.280946245733","210913777.6","324151057.6","1536922946.01862","53.2695594196989","3018481165.9","60093000","2958388165.9","417519710.3","56893144.7815232","7194170504.23709","552920000","834912123.6","0","70050280","2053185078.39376","39.9544805744355","84269504.3","11.2831629440903","107.852375450686","114111000","28883844.2","-55317143.6","1447779.9","19450073.7","86498000","-3733286.9","3633000","811729980.46875","3633000","746939123.6","105948268.5","142067581.2","1322242.22862159","","","","2.93173170521577","13.7231198315029","27.1659494304239","11.1328","","168780000","4.50574610942412","21.0909114500313","","","","314338149.7"
"Singapore","SGP","1987","-108642835.096827","","","","37811362862.954","","","","","","2836204781.61429","20371544043.3545","3500000","","","","37735008982.3441","","","0.11516063306024","8.45469658574857","","","","","","","","","23459999.0844727","","","","","321465032.170246","","","","","","","","","28200000","","","","15227011369.1498","4.84229741445915",""
"Singapore","SGP","1993","4211064860.39603","","","","104530175883.946","","","","","","4686312017.4899","59323926228.4936","4070000","","","","99783150562.4957","","","0.0398490135305542","7.13451223494891","","","","","","","","","23639999.3896484","","","","","2759020479.65161","","","","","","","","","27320000","","","","48416241487.7072","5.82257520009453",""
"Sao Tome and Principe","STP","1968","","","","","","","","","","","","","210000","","","","","","","","2.98898336763769","","","","","","","","","209999.993443489","","","","","","","","","","","","","","","","","","","",""
"Sweden","SWE","1969","","","","","","","","","","","","32089083589.3327","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","696993134.695452","",""
"Eswatini","SWZ","1996","-51962748.6253248","2.5771788566363","29373334.8","29671334.8","1139747624.59202","13.5377430449812","232796204","","232796204","2061611.8","21715844.9757609","1734837299.0952","18880000","20165000","0","","1351515491.00746","74.37583389408","21846662.7","1.90507774154369","34.9548276130035","-250000","","","2251718.5","-6477505.8","13733000","-2264156.7","","33049999.2370605","","5693000","7255311.7","75395830.2603552","436112.520131438","","","","1.6931463725918","2.57717885663631","0.180883184620628","0.8778","0.811659690990238","25800000","1.71032377592267","2.60332499579642","108.150341557095","253999529.961233","2.25524189683001",""
"Turks and Caicos Islands","TCA","1983","","","","","","","","","","","","","5360000","","","","","","","","740.98502321","","","","","","","","","6739999.77111816","","","","","","","","","","","","","","1180000","","","","","",""
"Turks and Caicos Islands","TCA","2003","","","","","","","","","","","","","240000","","","","","","","","87.971850915056","","","","","","","","","2200000.04768372","","","","","","","","","","","","","","1050000","","","","","",""
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","2007","","9.42892737690726","","","925283268917.86","","","","","","129695673174.471","3675354728831.69","","","-658927977.6","","984857916295.662","","","0.14842594619397","9.84849533669776","114790000","","","","","","","","5455180032.25327","","","","62010233503.9083","28824091016.9171","","","","2.17707080815478","9.38992197643867","16.755272304539","","31.3193320199558","","4.19026555322636","","53.6424763923146","","7.583455064361",""
"Middle East & North Africa (IDA & IBRD countries)","TMN","2018","","","","","494174590518.344","","","","","","15125386063.153","1309792732101.38","","","","","515618733475.231","","","2.19351424029906","75.9290354894818","","","","","","","","","28730490097.0459","","","","49903897536.2303","-220818303.087635","","","","1.89113723035616","","","","","","3.47768642436287","","77.6208606737357","","21.6260939047663",""
"Trinidad and Tobago","TTO","1982","-599458333.583104","","","","3146208334.64426","","","","","","203500000.084792","7925708333.33333","1170000","","","","3651041668.18793","","","0.0601838949947882","4.25885630594348","","","","","","","","","4769999.98092651","","","","4916666.508","0","","","","","","","","","3820000","","","","3105153736.67725","10.2058119919022",""
"Turkey","TUR","1987","-806000000","35.603776705931","4635150456.3","5981151264.4","14517000000","48.1192798494064","32550291463.8","866109000","31684182463.8","7623000000","115000000","85087682096.3169","42130000","6459417648","0","533449808.1","17646000000","21.2196083875371","983560775","0.445270085848992","7.41415068409103","-3655000","","-450871891","","-175326760","655171000","187675488","155577000","378869995.117188","155577000","169903000","479844042","2021000000","0","","","","5.44749879430625","31.9291207294896","52.5108493490391","18.6183","209.961527219139","92200000","7.0293973428839","41.2010144272233","8.86748340838893","3630665151.35595","2.46900044294862","770288401.5"
"Vanuatu","VUT","1983","-8292436.22587955","0.894009927485864","559073","1323073","62535435.3247761","10.5999481278754","3619149","","3619149","7000000","5867099.90253371","100180736.295467","10790000","0","0","","86345998.5655905","","","26.3124444729645","212.216117558964","","","","","-294682.8","157000","157058.3","","26360000.6103516","","0","-137624.5","7145181.656","0","","","","0.558064375122086","0.894009927485863","11.1936535879948","65.9186","106.146488174352","15880000","1.3206860409748","2.11571726194702","62.1015865093313","6594660.00278979","0.916497826744848",""
"Vanuatu","VUT","1991","-10260850.6655632","1.12320043161043","1188714","1581714","105832758.477099","19.696016958301","33629375.1","","33629375.1","1240000","25474518.484233","177036610.852436","16410000","8563984.8","0","","150139872.193616","56.475981607014","671337.9","26.0567578909233","306.068293555615","4331000","","","4929000","2521800.7","8787000","-473873.9","","46130001.0681152","","8563984.8","11308379.6","9058620.453","0","","","","0.671450946940474","1.12320043161043","1.17165990742679","3.5561","3.11268823740636","22990000","0.893438929035079","1.49454103130295","114.246234872977","39836948.1754853","3.18398684587498",""
"Vanuatu","VUT","1978","","","","","","","","","","","4920000","","15610000","","","","","","","","171.668333561665","","","","","","","","","18780000.6866455","","","","","","","","","","","","","","2600000","","","","","",""
"Kosovo","XKX","1970","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","",""
"Zambia","ZMB","1994","","","309155121.4","374529250.4","","199.064553497532","5193916915.9","13454000","5180462915.9","809911732.8","40000000","3420257992.23185","355520000","1243586000","0","61759129","","51.866831600222","160348966.2","20.90865678867","80.6257682585929","184949000","","-20942482.6","16932706.9","-5169365.6","141203000","7299920.6","400000","715130004.882813","400000","1042542000","136033526.2","","","","","","9.03894156821382","","","11.8955","302.061858916151","131870000","10.9503216204929","","3.93812048606762","268127772.141144","","804692652"
"Angola","AGO","1990","-235500000","7.06505982762928","282814344.9","325934344.9","4003000000","85.689842684571","7603459882.7","","7603459882.7","988436108.4","-334800000","10033444816.0535","192090000","","0","","4161400000","2.1726231044513","6144489.8","2.64884089050293","22.4309042129938","","","","4449124.7","111897401.7","745000","-1468000","","265769989.013672","","","112642489.1","","","","","","2.81871630417","7.06505982762928","24.6923834224332","11.5042","","33860000","3.24847897083667","8.14225193354984","","","",""
"Arab World","ARB","1997","","","","","298031205188.164","","","","","","8973444816.9066","610468145641.404","","","0","","286193343323.364","","","0.963275484201579","22.205429599946","","","","","","","","","5880489985.82363","","","","11492129404.3258","706340233.14708","","","","","","","","","","","","36.5644768959526","","",""
"Arab World","ARB","2006","","","","","909407046837.599","","","","","","69481323909.8279","1410331885064.01","","","-66249875.05","","603969561361.269","","","1.24525230518542","54.4643813613722","","","","","","","","","17562190309.5245","","","","24459749069.3236","2288704173.93702","","","","","","","","","","","","123.477795896038","","22.0772518113465",""
"Antigua and Barbuda","ATG","1998","-46770370.3703704","","","","478785185.185185","","","","","","22774074.0740741","706822222.222222","8100000","","","","523844444.444444","","","1.41195327883999","136.303412259609","","","","","","","","","9979999.54223633","","","","18755555.5555555","","","","","","","","","","3060000","","","","59367608.1802758","1.35996726837267",""
"Burundi","BDI","2019","","","23110525.5","40373276.4","","19.1536163004539","428948263","","428948263","266382.8","1044960.5011","3019513461.38506","474690000","137531000","0","17262750.9","","64.5217967890864","14911326.3","19.5044668610703","51.0763687230401","-3191000","-16248595.4","","-500169.2","2121456.3","4917000","8608026.8","","588940002.441406","","137531000","7038313.9","48328631.779466","","11.757917724868","","355034965.309689","0.76537249446138","","","0.046","0.239179258931656","25090000","1.33707886771535","","19.2571126615401","111373704.053543","","149136356.3"
