"Country Name","Country Code","Year","average_value_Air transport, freight (million ton-km)","average_value_Air transport, passengers carried","average_value_Air transport, registered carrier departures worldwide","average_value_Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","average_value_Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","average_value_Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","average_value_Annual freshwater withdrawals, total (% of internal resources)","average_value_Annual freshwater withdrawals, total (billion cubic meters)","average_value_Container port traffic (TEU: 20 foot equivalent units)","average_value_Electric power consumption (kWh per capita)","average_value_Electric power transmission and distribution losses (% of output)","average_value_Electricity production from coal sources (% of total)","average_value_Electricity production from hydroelectric sources (% of total)","average_value_Electricity production from natural gas sources (% of total)","average_value_Electricity production from nuclear sources (% of total)","average_value_Electricity production from oil sources (% of total)","average_value_Fixed broadband subscriptions","average_value_Fixed broadband subscriptions (per 100 people)","average_value_Fixed telephone subscriptions","average_value_Fixed telephone subscriptions (per 100 people)","average_value_ICT goods exports (% of total goods exports)","average_value_ICT goods imports (% total goods imports)","average_value_ICT service exports (% of service exports, BoP)","average_value_ICT service exports (BoP, current US$)","average_value_Individuals using the Internet (% of population)","average_value_Industrial design applications, nonresident, by count","average_value_Industrial design applications, resident, by count","average_value_Investment in ICT with private participation (current US$)","average_value_Investment in energy with private participation (current US$)","average_value_Investment in transport with private participation (current US$)","average_value_Investment in water and sanitation with private participation (current US$)","average_value_Liner shipping connectivity index (maximum value in 2004 = 100)","average_value_Mobile cellular subscriptions","average_value_Mobile cellular subscriptions (per 100 people)","average_value_Public private partnerships investment in ICT (current US$)","average_value_Public private partnerships investment in energy (current US$)","average_value_Public private partnerships investment in transport (current US$)","average_value_Public private partnerships investment in water and sanitation (current US$)","average_value_Rail lines (total route-km)","average_value_Railways, goods transported (million ton-km)","average_value_Railways, passengers carried (million passenger-km)","average_value_Renewable internal freshwater resources per capita (cubic meters)","average_value_Renewable internal freshwater resources, total (billion cubic meters)","average_value_Secure Internet servers","average_value_Secure Internet servers (per 1 million people)","average_value_Trademark applications, nonresident, by count","average_value_Trademark applications, resident, by count"
"Lao PDR","LAO","2001","1.64","210847","6652","","","","","","","","","","","","","","","","52625","0.972810838","","","4.97474377176269","8261626.368","0.181664461","","","","","","","","29545","0.546160498","","","","","","","","","","","","",""
"Least developed countries: UN classification","LDC","1976","276.2000016871","4915900","211000","","","","","","","64.5022658082776","11.565351977371","0.612749579594901","63.5569219110849","3.34688046233905","0","11.4478524905006","","","464122","0.144140480998852","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"Low income","LIC","2014","1101.69615667353","14719339.1590676","208291.310289755","","","","","","","","17.191113529578","3.2785941757227","41.8926694184432","13.2808537982657","0","9.74608581629804","1604777","0.311067148374156","8630365","1.51578135822032","","","8.34115760087784","1262562406.22935","7.2029698861812","","","","","","","","296882425","52.1425044469665","","","","","","","","","","","1.13112939080723","",""
"Sri Lanka","LKA","1970","1.7999999523","104600","4400","","","","","","","","","","","","","","","","37100","0.297138976","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"Latvia","LVA","1994","2.2000000477","167000","5400","","","","","","","1973.22851763489","28.9189189189189","0","74.4369369369369","7.02702702702703","0","16.7792792792793","","","667124","26.22726279","","","0.833493122958878","5477000","0","","","","","","","","8364","0.328821667","","","","","","","","","","","","",""
"Moldova","MDA","1999","0.8000000119","43000","1100","","","","","","","2169.13816437323","24.2845326716294","3.44086021505376","6.23655913978495","88.4367245657568","0","1.88585607940447","","","555291","13.14040393","","","10.3841815407073","15650000","0.600695269","3454","250","","60000000","","","","18000","0.425951926","","","","","1140","1232","343","","","","","",""
"Madagascar","MDG","1966","","","","","","","","","","","","","","","","","","","9500","0.164667","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mexico","MEX","1974","67.5","5501500","101600","","","","","","","627.376230385069","12.1291235604138","0.544114776498146","40.7695686121413","12.0046847550264","0","45.5519227015421","","","858796","1.66777","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle income","MIC","2003","18742.945","345724905","4408679","","","","","","119222746","1142.63745306715","12.8226243756974","43.4926389644706","20.6938895184104","21.6520741551481","5.76080713086279","6.88725864769554","14397779","0.356805803682855","547914029","11.3491252481894","15.55461338599","15.3149802039659","7.52464354773002","21204570044.846","4.86730272326156","29422","124324","","20383960000","","","","637996193","13.2150270286957","","16910700000","","","","2105.5","973","","","","","",""
"Malta","MLT","1994","11.8000001907","1002500","11300","","","","","","","3735.3554057263","9.14990266060999","23.2965606748864","0","0","0","76.7034393251136","","","162889","43.58234114","","","1.63022468875603","16291761.0885694","0","16","36","","","","","","7500","2.006688963","","","","","","","","","","","","",""
"Malaysia","MYS","1964","","","","","","","","","","","","","","","","","","","48021","0.588756","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Philippines","PHL","2012","533.283614656041","28540727.3608103","241698.559028508","80.60725477","8.6660810939","10.7266641345","17.5883089770355","84.248","5641594","664.121462642322","11.4644615405713","38.7611250531397","14.0590502050164","26.9359992320456","0","5.83371045377875","2146600","2.208148996","3493164","3.593322733","29.4749095739","24.750436552","14.6932115146509","3003175187.84","36.2351","439","786","","1033730000","49700000","178300000","20.9393580748","101978345","104.9023479","","978030000","49700000","178300000","","","","4927.34283244795","479","1146","11.7885905761698","16496","16437"
"Palau","PLW","2002","","","","","","","","","","","","","","","","","","","6928","35.28033814","","","","","20.24393947","","","","","","","","2458","12.51718694","","","","","","","","","","","","",""
"Papua New Guinea","PNG","2017","29.231317078","1864653","53696","0.25503698","57.0007651109","42.7441979087","0.0489513108614232","0.3921","335300","","","","","","","","18000","0.213319782","158000","1.872473642","","","1.93176310762418","5752278.85876216","11.20919659","","","","","","","13.2277544597","4018000","47.61771578","","","","","","","","94927.2804886634","801","262","31.0498720200122","",""
"Poland","POL","1989","28.7999992371","1907300","31500","","","","","","","3537.92388077941","9.03648504385322","97.4539314396556","1.12267040657554","0.0802405821977547","0","1.17988543040351","","","3124400","8.258493489","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"Portugal","PRT","2011","355.849353","11014639","129004","","","","","","1704024","4848.27933727111","7.88236201048412","18.9793401171755","22.2402096823928","28.7465309898242","0","5.17267961763799","2243036","21.22202059","4542561","42.97850016","3.9060445345","5.0379520947","4.2635082360266","1148641506.25398","55.24999688","25","1598","","","","","47.7120881133","12334595","116.7012162","","","","","2794","2322","4143","","","2256","213.685737992491","6141","23901"
"Sudan","SDN","2016","5.1483685301","292843","3165","","","","","","466000","","","","","","","","26376","0.06619246","136472","0.342486251","0.0050307377","2.260041309","0.727271320404731","11233220.0002201","14.09999994","33","348","","","","","17.4715718107","27807293","69.78439192","","","","","","","","","","52","1.30497741222126","3442","1332"
"San Marino","SMR","2002","","","","","","","","","","","","","","","","","","","20601","73.11801242","","","","","50.83483994","","","","","","","","16759","59.48181012","","","","","","","","","","","","",""
"Sweden","SWE","1983","166.1999969482","6590800","140100","","","","","","","12609.0267621703","8.54788782849112","0.63103362757075","58.3673956773737","0","37.6636140682839","1.97852464888995","","","5016791","60.20792461","","","","","","","","","","","","","36294","0.435574537","","","","","","","","","","","","",""
"Europe & Central Asia (IDA & IBRD countries)","TEC","1988","","","","","","","","","","","9.36513794156571","","","","","","","","43527676","10.666246952134","","","","","","","","","","","","","9846","0.0023863451170546","","","","","","","","","","","","",""
"Tajikistan","TJK","2019","2.5060054231253","539094.616","4283","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","231.7","","","","663","71.129531597551","5884","595"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1973","450.1000113264","5611900","139000","","","","","","","239.898346543812","7.25606316976875","2.38949357780907","30.4322295287005","17.726773700468","0","49.3706568122556","","","1007686","0.852143212229527","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Trinidad and Tobago","TTO","2014","43.736004","2732100","36216","","","","","","594363","7092.95864385978","2.30419403739262","0","0","99.7574532592218","0","0.242546740778171","248108","18.21183327","288922","21.20769702","0.0431358907","2.3827641869","0.804169808558362","10970205.927627","65.1","80","179","","","","","21.1429935839","1980566","145.3791808","","","","","","","","","","236","173.231733411043","2044","793"
"Trinidad and Tobago","TTO","1960","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"Ukraine","UKR","1991","","","","","","","","","","4643.26304554764","8.0533779586091","38.3050774418513","4.20516614176904","16.6737889947462","26.9802166863578","13.8357507352756","","","7344100","14.27074919","","","","","0","","","","","","","","0","0","","","","","","","","","","","","",""
"Uzbekistan","UZB","2020","","","","","","","","","","","","","","","","","4820009","14.4013259","3550069","10.60697203","","","","","","","","","236000000","","159730000","","33387000","99.75439212","","236000000","","159730000","","","","","","16044","468.683587456784","",""
"Venezuela, RB","VEN","2013","5.198784","6866780.59935996","92813","","","","","","1441673","3299.01105555527","20.8078921727834","0","67.8345241961676","17.1289379668724","0","15.0365378369601","2233431","7.499506397","7773777","26.10310788","0.0014281215","4.190626634","3.74548736462094","83000000","54.9","","","","","","","22.6542199775","30896079","103.7441238","","","","","","","","","","443","14.8752330593089","9688","15029"
"Venezuela, RB","VEN","2018","0","2217407","22447","","","","","","320800","","","","","","","","2604578","9.016399628","5547291","19.20333832","","","","","","","","","","","","13.6279368438","20731169","71.76613811","","","","","","","","","","7956","275.416892589177","",""
"Virgin Islands (U.S.)","VIR","2004","","","","","","","","","","","","","","","","","1484","1.372904563","70888","65.58117159","","","","","27.37700879","","","","","","","1.77","64200","59.39384968","","","","","","","","","","","","",""
"Vietnam","VNM","2003","164.459","3969320","41996","","","","","","1904939","433.199091391242","12.8821014050092","17.6835675015272","46.3921808185706","29.4294441050703","0","6.49480757483201","9180","0.011154089","4402000","5.348616558","3.9600410073","4.6145209414","","","3.780280814","","","230000000","412000000","","7000000","","2742000","3.331646206","","412000000","","7000000","2600","2674","4041","","","","","",""
"Yemen, Rep.","YEM","1977","0.5","275000","7000","","","","","","","44.1585853205161","0","0","0","0","0","100","","","","","","","","","","","","","","","","","0","0","","","","","","","","292.533215057047","2.1","","","",""
"Zambia","ZMB","1985","25.2999992371","253900","4700","","","","","","","948.268042225878","5.31281032770606","0.357497517378352","99.1459781529295","0","0","0.496524329692155","","","43772","0.63225564","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"Monaco","MCO","1985","","73800","9400","","","","","","","","","","","","","","","","20800","72.14206437","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"Malawi","MWI","1992","1.6000000238","121400","3800","","","","","","","","","","","","","","","","30804","0.318026903","","","","","0","","","","","","","","0","0","","","","","","","","1666.32700025831","16.14","","","",""
"Albania","ALB","1962","","","","","","","","","","","","","","","","","","","6845","0.418376","","","","","","","","","","","","","","","","","","","","","","15718.869480208","26.9","","","",""
"Armenia","ARM","1997","10.6999998093","367800","4300","66.21993872","29.6171345446","4.1629267387","26.9718617874326","1.85","","1509.05769751883","20.6336042461436","0","23.0552330403052","49.9751202521148","26.6545032343672","0.315143473212805","","","567800","18.12268978","","","14.1676119919276","14330000","0.111650935","","","","","","","","5000","0.159586912","","","","","796","381","84","2189.21885517802","6.859","","","",""
"Austria","AUT","1976","8.1000003815","1060800","23100","","","","","","","4068.190905456","6.78360222770856","10.4466900155021","57.4697134983062","15.8982603203766","0","15.4561635184016","","","1623000","21.24137306","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"Azerbaijan","AZE","2019","47.1726","2585280","22254","","","","","","","","","","","","","","1943013","19.33785363","1673211","16.6526469","0.0208397797","3.9465090843","","","81.09999907","822","139","","","","","","10750300","106.9924534","","","","","2139.87","5152","","","","3697","368.804432197295","9380","3908"
"Belgium","BEL","1976","316.700012207","1682000","39900","","","","","","","4247.40637999101","4.84689005368928","22.5028117904208","0.231309551599007","19.5615729049509","21.2974555949324","36.2858901173525","","","1941000","19.81668393","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"Bahrain","BHR","1965","","","","","","","","","","","","","","","","","","","3200","1.707294951","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"Bolivia","BOL","1989","8.3999996185","1272600","16100","","","","","","","257.84404586321","17.7003816793893","0","55.6774809160305","36.7843511450382","0","5.96374045801527","","","169932","2.528330493","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"Brazil","BRA","1970","164.1000061035","3339800","137700","","","","","","","","","","","","","","","","1250000","1.314222575","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"Brazil","BRA","1989","1147.9000244141","19410800","398700","","","","","","","1449.93137178757","14.203039864935","2.52569710594385","92.4012405032435","0","0.826099321515147","2.71077946759479","","","8790000","6.007040169","","","","","","378","1483","","30100000","993300000","","","0","0","","30100000","993300000","","","","","","","","","",""
"Bhutan","BTN","1974","","","","","","","","","","","","","","","","","","","385","0.129492","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chile","CHL","1993","616.200012207","2360000","58600","","","","","","","1514.74363378127","11.9985001874766","11.8693496646253","74.374036578761","1.19985001874766","0","5.26600841561471","","","1520291","10.90210017","","","2.09567741678928","52700000","0.071783144","","","","","","","","85186","0.61087404","","","","","","","","","","","","",""
"Chile","CHL","1971","46.7999992371","690600","27000","","","","","","","761.260806403401","11.2271234162365","16.1426560300328","56.4171750351947","1.11450023463163","0","25.5513843266072","","","237000","2.42254","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Costa Rica","CRI","2003","9.735","749885","31219","","","","","","669259","1643.59099175731","7.11123037702938","0","80.7996779820207","0","0","2.10653428149738","14878","0.357296125","1159223","27.83881473","25.772887624","23.1473070496","5.25838545349212","129135927.125314","20.33361481","","","","80000000","","","","778299","18.69090043","","80000000","","","","","","","","","","",""
"Caribbean small states","CSS","2008","94.014","4978399","104600","","","","","","4416836","2666.77360061039","10.1249178172255","","","","","","333308","4.84531277750584","1320281","19.1929818648197","0.224228171825911","3.1826612233743","4.45874719930698","328676763.5408","27.6679876313022","","","","","","","","7108319","103.333940006326","","","","","","","","","","","","",""
"Denmark","DNK","2003","170.974","5886037","90641","","","","","","888729","6602.63637972505","4.43640930151994","54.7936604165765","0.045468323734465","21.1406053782531","0","4.62044775473087","718299","13.33401275","3614249","67.09245349","6.627111621","11.358843552","","","76.26","","","","","","","","4767100","88.4931932","","","","","2273","1985","5893","","","","","",""
"Algeria","DZA","2011","14.826","3543663","53286","","","","","","1083800","1123.33291454634","19.3249258160237","0","0.980009370607528","96.9350304544745","0","2.08496017491801","980752","2.675159149","3059336","8.344832016","0.0030457196","3.3522633741","4.88598189474323","176276220.647112","14.9","104","699","","","","","12.1008091898","35615926","97.14817842","","","","","4226","1248","1040","","","18","0.490979104529397","7605","3456"
"Eritrea","ERI","1981","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"European Union","EUU","1980","6432.4000697136","93554600","1503800","","","","","","","4132.70852206102","6.88121295322913","40.2471459522142","16.8161783768574","9.19695114448003","10.4737225942669","19.2282662664233","","","86979514","21.4668734189264","","","","","","","","","","","","","23482","0.0057693063642604","","","","","","","","","","","","",""
"Fiji","FJI","1980","2.7999999523","322000","21200","","","","","","","","","","","","","","","","23923","3.76558105","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"France","FRA","1983","2483.6999511719","23278100","241000","","","","","","","4710.62508729553","6.66206210069779","20.4527371774688","23.5086792682803","1.66983230577027","48.8425949437803","5.25665376711053","","","20942000","38.30243786","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"Faroe Islands","FRO","2018","","","","","","","","","35039.3","","","","","","","","18181","37.48891684","17188","35.44136751","","","","","","","","","","","","4.7211895982","56792","117.1041508","","","","","","","","","","225","4639.46223477741","",""
"Micronesia, Fed. Sts.","FSM","2016","","","","","","","","","9814.813","","","","","","","","3169","2.875289207","6883","6.245066461","","","","","33.35216255","","","","","","","2.4987035534","23412","21.24211768","","","","","","","","","","17","154.243977679989","",""
"Gibraltar","GIB","1969","","","","","","","","","","","","","","","","","","","1960","8.36892","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","GRC","1964","","","","","","","","","","407.970033003037","12.4968632371393","49.2095357590966","19.8243412797992","0","0","30.9661229611041","","","181734","2.19655","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Grenada","GRD","1994","","","","","","","","","","","","","","","","","","","21000","21.13696755","","","8.58747993579454","8718518.51851852","0","","","","5600000","","","","350","0.352282792","","","","","","","","","","","","",""
"Guam","GUM","2009","48.607","1172372","11470","","","","","","157096","","","","","","","","3000","1.884114403","65500","41.13649781","","","","","50.64202838","","","","","","","9.7361461687","","","","","","","","","","","","","","",""
"High income","HIC","2009","144613.295654396","1582075701","18880454","","","","","","251242260.474151","8933.63718833267","6.21978876108458","33.782587948936","11.8884138823044","23.4464911985844","21.1419937811497","3.66610831004075","286342634","25.0417264622127","553259328","48.374368479643","10.4319275637465","12.0006930680883","7.85038097677231","214262457945.617","70.1459133764288","52109","194319","","","","","","1225570968","107.19200600408","","","","","","8872","9250","","","","","",""
"High income","HIC","1971","10198.1998728515","291581204","8137100","","","","","","","4209.36950923202","7.85424401632121","38.9992707631006","22.3172867837514","12.768689433385","2.67073801702463","21.6366533481493","","","146019461","17.4581843406795","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Honduras","HND","1977","4.1999998093","324400","13900","","","","","","","181.339616591978","10.3197674418605","0","68.1686046511628","0","0","31.8313953488372","","","17781","0.530328902","","","","","","","","","","","","","0","0","","","","","","","","27039.884276692","90.66","","","",""
"Heavily indebted poor countries (HIPC)","HPC","2010","664.206385216808","14165092.2265473","266822.28924497","","","","","","","182.78175063464","17.2181889229377","0.158574613785068","53.6382556242194","10.1479902594038","0","9.69817217178576","483868","0.0847566690419332","6957032","1.11451723931378","0.237038257337079","4.14362253483142","8.50028510701922","1767056026.05639","4.2966345753214","","","","","","","","232417840","37.2333617874113","","","","","","","","","","","0.540182172200217","",""
"IBRD only","IBD","1999","15180.5189415248","281964600","4172500","","","","","","","1116.87100700361","13.1626345837824","41.827436556572","23.4667909722301","19.2548170295938","5.51361942017259","8.92016553496134","","","331838139","8.3762125868124","","","3.14875111125441","6445227443.34518","0.965836293218229","22728","55458","","17314040000","6772960000","","","119362946","3.01294303809197","","13654040000","6014510000","","","3138","1192","","","","","",""
"IDA & IBRD total","IBT","1963","","","","","","","","","","","9.22441599061675","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IDA blend","IDB","1964","","","","","","","","","","","","","","","","","","","148725","0.159454599898473","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IDA blend","IDB","1974","136.4000018836","2448700","73100","","","","","","","108.670800304193","14.9035193222821","2.17787995108486","34.8488186889944","10.5387473859415","1.25741748119239","3.25723177589925","","","305785","0.229316216943657","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","ISL","2001","101.24","1357946","11728","","","","","","","26950.3944302518","4.39437321050666","0","81.8872152371468","0","0","0.0497945972861945","10424","3.684603067","196528","69.46735146","0.0902997306","7.090166952","","","49.39299537","","","","","","","","248131","87.70762123","","","","","","","","","","","","",""
"Jordan","JOR","2013","172.126","3294911","38998","","","","","","873000","1854.32736643021","10.3574118055958","0","0.318600475004345","25.1346811098882","0","74.4945837919249","328382","3.854708948","378411","4.441973884","1.3852192219","3.4518639456","","","41.4","40","30","","1102000000","","","21.1973102816","10313976","121.0705081","","1102000000","","","","","","","","294","34.5111252598899","4397","2113"
"Jordan","JOR","1977","40.0999984741","557300","9300","67.39579034","27.1976888155","5.4065208419","71.0557184750733","0.4846","","222.542295654552","19.3011647254576","0","0","0","0","100","","","41012","1.881834279","","","","","","","","","","","","","0","0","","","","","","","","312.935764198772","0.682","","","",""
"Japan","JPN","1997","7504.6000976563","94997600","573300","65.15436539","18.5504038951","16.2952307182","20.7418604651163","89.19","","7991.00406958757","4.56215166357034","18.1552371374614","8.41054950791482","21.1991025778815","30.6283682117578","14.9742442155041","","","65735000","51.80359494","","","3.9842517224042","2776788935.60635","9.16307714","2099","37766","","","","","","38253893","30.14663692","","","","","20243","24617","395278","3411.15527102819","430","","","",""
"Latin America & Caribbean (excluding high income)","LAC","1976","924.4000131488","29501700","670300","","","","","","","633.188255052247","11.8851801899516","1.80925198882993","59.4580010403989","7.21726040242708","1.20930252475847","28.2253654213746","","","7888770","2.81668526725234","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"Lebanon","LBN","2017","53.387","2879528","25550","38.04347826","13.0434782609","48.9130434783","37.75","1.812","1305000","","","","","","","","","","907881","13.31326208","0.9086425995","2.3384564758","4.22040076376656","640865937.425884","78.18077489","","","","","","","39.1336407262","4399085","64.50864324","","","","","","","","703.877027990696","4.8","813","119.219171615924","",""
"Lebanon","LBN","1971","196.8000030518","648000","20800","","","","","","","525.478261682227","10.0363636363636","0","61.0181818181818","0","0","38.9818181818182","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Macao SAR, China","MAC","1969","","","","","","","","","","","","","","","","","","","2304","1.37314","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","MCO","1977","","","","","","","","","","","","","","","","","","","12800","49.59510248","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"Moldova","MDA","2017","0.55191","1092606","14116","5","17.619047619","77.380952381","51.8518518518518","0.84","735.0142","","","","","","","","584330","14.39348481","1143852","28.17588758","0.2753028483","3.8670884403","13.9699996798258","174530000","76.12451989","816","290","","","","","0.6837881984","3746644","92.28905501","","","","","1151","987","99","587.988057309236","1.62","10071","3655.32575627242","8292","3015"
"Moldova","MDA","1982","","","","","","","","","","","","","","","","","","","255900","6.254997092","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"Marshall Islands","MHL","2018","0.133837","24313","2244","","","","","","70146.41","","","","","","","","","","","","","","","","","","","","","","","7.4847707972","","","","","","","","","","","","8","136.958159282339","",""
"Malta","MLT","2001","13.781","1340031","15056","","","","","","1205764","4292.31505134494","13.1755018013381","0","0","0","0","100","9157","2.310460023","207745","52.41744212","59.2833557434","32.6036203563","2.47368234225457","27740448.8100897","17.87784832","6","5","","","","","","239416","60.40855049","","","","","","","","","","","","",""
"Montenegro","MNE","2015","","526980","6864","","","","","","24062.26","","","50.3496503496504","49.6503496503497","0","","0","112394","17.92693586","154448","24.63458361","0.5508753507","4.7165153133","4.90157192478647","66036171.3962526","68.11978601","1525","8","","154600000","","","3.9123881585","1007890","160.7592877","","154600000","","","249","112","81","","","59","94.8310640849043","",""
"New Caledonia","NCL","1993","","","","","","","","","","","","","","","","","","","38748","21.11837802","","","","","0","","","","","","","","0","0","","","","","","","","","","","","",""
"Niger","NER","1988","16","111300","2300","","","","","","","","","","","","","","","","8700","0.115255709","","","0.470103092783506","191372.640151883","","","","","","","","","0","0","","","","","","","","","","","","",""
"Nigeria","NGA","1961","","","","","","","","","","","","","","","","","","","20544","0.0455133","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","NLD","1985","1403.9000244141","6027700","98700","","","","","","","4517.08958659729","4.15111125232338","27.2181358920997","0.004765914181772","60.7066262093507","6.19409979824297","5.17578280140436","","","5823000","40.12002523","","","1.17900102153275","161730301.282515","","","","","","","","","4800","0.033071633","","","","","","","","","","","","",""
"Philippines","PHL","1965","","","","","","","","","","","","","","","","","","","83000","0.268521618","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"Papua New Guinea","PNG","2005","21.112","818773","19606","","","","","","","","","","","","","","","","63720","0.981077008","","","2.18166832979484","6608746.53670962","1.716190476","4","","","","","","6.4","75000","1.154751657","","","","","","","","","","","","447","70"
"Pacific island small states","PSS","2007","106.723","1510124","77907","","","","","","","","","","","","","","14531","0.704440773943565","182770","9.6674701282985","0.626109894501516","3.18713508398369","2.93256924601661","42476841.0413248","7.38974578592793","","","","","","","","740150","35.8813460129407","","","","","","","","53786.6443723987","","","","",""
"Pacific island small states","PSS","2009","72.741","1861811","78761","","","","","","","","","","","","","","17653","0.869394938365821","210035","10.7958949523456","0.605151798415883","4.40630733380868","2.06819240660486","29778651.7981687","10.8684669545756","","","","","","","","925833","47.8326011629017","","","","","","","","","","","","",""
"French Polynesia","PYF","2010","","","","","","","","","70000","","","","","","","","32247","12.10223115","54942","20.61961682","0.7934375365","6.0082353259","2.47607687299383","24019119.2454146","49","","","","","","","10.7375336758","215890","81.02306206","","","","","","","","","","17","63.802078446532","",""
"Romania","ROU","1994","18.6000003815","1242700","21300","","","","","","","2234.73508450933","9.18637550783517","35.7987521764365","23.6614915844457","30.0457051654092","0","10.4940510737086","","","2805636","12.1373029","","","4.38512869399428","46000000","0.026300162","","","","","","","","2775","0.01200477","","","","","","","","","","","","",""
"Romania","ROU","1983","6.0999999046","998600","18700","","","","","","","2974.89264190236","5.42840876743524","15.7671505835468","14.2869342442357","52.6615428408767","0","17.2843723313407","","","1800000","7.857756448","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"Rwanda","RWA","1961","","","","","","","","","","","","","","","","","","","1366","0.0465325","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rwanda","RWA","1967","","","","","","","","","","","","","","","","","","","600","0.0185441","","","","","","","","","","","","","","","","","","","","","","2777.04941130937","9.5","","","",""
"Senegal","SEN","1997","15.3000001907","165500","4800","90.35535536","6.026026026","3.6186186186","5.95691711395349","1.5368846154","","117.513368925391","16.8861347792409","0","0","7.04879938032533","0","89.2331525948877","","","115902","1.269341379","","","11.5367218078429","42823901.996465","0.027347441","","","159700000","59000000","","","","6942","0.076027746","","59000000","","","906","446","78","2825.57774303364","25.8","","","",""
"Senegal","SEN","1960","","","","","","","","","","","","","","","","","","","9494","0.296063084","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"Singapore","SGP","2012","6899.37316122711","29138458.2737476","157939.317765257","2.166048663","45.8685440552","51.965407282","160.033416666667","0.9602005","32347000","8673.98521620115","1.89691511783867","0.0127738391773648","0","84.2988226778225","0","12.9995103361649","1432800","26.68416806","1987600","37.01664743","27.9069128233","23.0398111916","5.18813222789009","6715979687.47907","72","3338","604","","","","","98.2584667416","8067600","150.2492981","","","","","","","","112.942515835952","0.6","10088","1898.94016625515","30222","7002"
"El Salvador","SLV","1984","4","360200","9200","","","","","","","286.181126375245","13.6307311028501","0","53.8413878562577","0","0","4.0272614622057","","","86257","1.770814622","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"Seychelles","SYC","2005","25.812","498836","19581","","","","","","","","","","","","","","948","1.069398069","21404","24.14493277","0.0131052705","2.7319504375","3.45803495926662","12779800.9090909","25.41326815","","","","","","","4.93","58806","66.33652197","","","","","","","","","","","","",""
"Thailand","THA","2005","2002.424","18902629","124347","","","","","","5115213","1914.80124285443","8.10532765493922","15.5238015991286","4.38587865080146","72.3322011845957","0","6.59924204028836","555495","0.849170532","7034662","10.75370196","23.4266820052","17.3710294983","1.43239138748393","285410000","15.02600436","1178","3367","","1609000000","","241600000","31.92","30460238","46.56376115","","1609000000","","241600000","","4037","9195","","","","","12148","24275"
"Turkey","TUR","1974","10.1999998093","1795100","30600","","","","","","","312.455385389702","11.0410328708169","28.7230095718632","24.9016843511167","0","0","44.8393559397492","","","376987","1.08093","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tanzania","TZA","2018","0.487269","1698386","90017","","","","","","600100","","","","","","","","861234","1.529357877","124238","0.220618745","4.175650648","3.122111539","","","19","","","","","","","14.8980168117","43497261","77.24135223","","","","","","","","","","1537","27.2936601071673","",""
