"Country Name","Country Code","Year","average_value_Air transport, freight (million ton-km)","average_value_Air transport, passengers carried","average_value_Air transport, registered carrier departures worldwide","average_value_Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","average_value_Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","average_value_Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","average_value_Annual freshwater withdrawals, total (% of internal resources)","average_value_Annual freshwater withdrawals, total (billion cubic meters)","average_value_Container port traffic (TEU: 20 foot equivalent units)","average_value_Electric power consumption (kWh per capita)","average_value_Electric power transmission and distribution losses (% of output)","average_value_Electricity production from coal sources (% of total)","average_value_Electricity production from hydroelectric sources (% of total)","average_value_Electricity production from natural gas sources (% of total)","average_value_Electricity production from nuclear sources (% of total)","average_value_Electricity production from oil sources (% of total)","average_value_Fixed broadband subscriptions","average_value_Fixed broadband subscriptions (per 100 people)","average_value_Fixed telephone subscriptions","average_value_Fixed telephone subscriptions (per 100 people)","average_value_ICT goods exports (% of total goods exports)","average_value_ICT goods imports (% total goods imports)","average_value_ICT service exports (% of service exports, BoP)","average_value_ICT service exports (BoP, current US$)","average_value_Individuals using the Internet (% of population)","average_value_Industrial design applications, nonresident, by count","average_value_Industrial design applications, resident, by count","average_value_Investment in ICT with private participation (current US$)","average_value_Investment in energy with private participation (current US$)","average_value_Investment in transport with private participation (current US$)","average_value_Investment in water and sanitation with private participation (current US$)","average_value_Liner shipping connectivity index (maximum value in 2004 = 100)","average_value_Mobile cellular subscriptions","average_value_Mobile cellular subscriptions (per 100 people)","average_value_Public private partnerships investment in ICT (current US$)","average_value_Public private partnerships investment in energy (current US$)","average_value_Public private partnerships investment in transport (current US$)","average_value_Public private partnerships investment in water and sanitation (current US$)","average_value_Rail lines (total route-km)","average_value_Railways, goods transported (million ton-km)","average_value_Railways, passengers carried (million passenger-km)","average_value_Renewable internal freshwater resources per capita (cubic meters)","average_value_Renewable internal freshwater resources, total (billion cubic meters)","average_value_Secure Internet servers","average_value_Secure Internet servers (per 1 million people)","average_value_Trademark applications, nonresident, by count","average_value_Trademark applications, resident, by count"
"Fragile and conflict affected situations","FCS","1986","557.0000071674","16248900","361800","","","","","","","333.460872492268","15.9703869072046","1.82372549355462","28.5018720715665","15.109812163491","0","29.6195200598462","","","4678053","1.19112863769805","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"Fiji","FJI","2008","96.057","946138","46467","","","","","","","","","","","","","","13031","1.541471632","129100","15.2715822","0.5323739193","4.9284359425","2.31431516884875","25794607.2841937","13","","","","","","","13.5227641523","600000","70.97559504","","","","","","","","","","","","",""
"United Kingdom","GBR","1998","4663.5","61940200","801900","","","","","","","5908.87149023065","8.25802663683017","34.646434713733","1.41741834889318","32.6241625793801","27.552419276668","2.62020222721344","","","32829000","56.10838248","","","4.58227336886469","5159438113.3636","13.6699831","","","","","","","","14878000","25.42814324","","","","","16999","17340","44100","","","","","",""
"Ghana","GHA","2003","16.63","241111","3333","","","","","","","217.924476108981","28.8337300238014","0","66.0659639578375","0","0","0","","","291030","1.402534007","0.0122425296","3.6444970707","","","1.193057911","","","","","","","","795529","3.833819455","","","","","977","242","85","","","","","",""
"Gibraltar","GIB","1996","","","","","","","","","","3693.47600966517","2.72727272727273","0","0","0","0","100","","","17500","60.40523282","","","","","","","","","","","","","1002","3.458631045","","","","","","","","","","","","",""
"Gambia, The","GMB","2003","","","","","","","","","","","","","","","","","","","41986","2.895735986","0.7192920771","4.4275447756","5.33508396518113","3731444.20548647","2.436781193","","","","","","","","149300","10.29708433","","","","","","","","","","","","",""
"Gambia, The","GMB","1995","","","","","","","","","","","","","","","","","","","19202","1.701437654","","","","","0.009217541","","","","","","","","1442","0.127771748","","","","","","","","","","","","",""
"Equatorial Guinea","GNQ","1986","0.1000000015","13700","400","","","","","","","","","","","","","","","","1000","0.270985819","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"Guyana","GUY","1961","","","","","","","","","","","","","","","","","","","5323","0.930889","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Haiti","HTI","2001","","","","","","","","","","35.196502187875","48.989898989899","0","47.6430976430976","0","0","52.3569023569024","","","80000","0.929279614","","","12.9496402877698","18000000","0.340832326","","","","","","","","91500","1.062863559","","","","","","","","","","","","",""
"Haiti","HTI","2010","","","","","","","","","163456","24.5242940269876","58.4327086882453","0","30.1533219761499","0","0","69.8466780238501","","","50000","0.502546807","","","3.65340220914844","16550000","8.37","","","","","","","5.077925152","4000000","40.20374454","","","","","","","","","","2","0.201018803499898","1365","409"
"IBRD only","IBD","1977","2958.1999815852","74812800","1511700","","","","","","","359.404788267932","10.1486025847979","23.792138136642","17.5300127884794","3.60642046727527","0.572205625806467","11.9621534717507","","","34475308","1.30027392206857","","","","","","","","","","","","","0","0","","","","","","","","8940.06243626439","22311.484","","","",""
"IDA only","IDX","2012","1142.71297568088","24940008.3459323","443339.150256162","","","","","","","271.383994886861","17.0903186387338","2.96634183439674","38.2367359480965","25.0527658949421","0","13.8542426243802","2172901","0.264656811048444","15186895","1.60152442056646","0.193548277950094","3.11338541858158","8.23341801437128","3277555662.59888","5.82075801105153","","","","","","","","496937197","52.4041982542526","","","","","","","","5441.96703030794","5157.622","","1.21761003365938","",""
"IDA only","IDX","2013","1339.48579774971","26632300.3034966","504693.815238617","","","","","","","273.003520801639","17.2219694776459","3.21333621910125","39.1238669408183","25.5190842869672","0","11.7727509386716","3784435","0.417700755965806","15314564","1.5802492962098","","2.67275775398734","8.16550819178869","3559703372.74844","7.33656863323731","","","","","","","","576810465","59.5187908245618","","","","","","","","","","","1.5358023485314","",""
"IDA only","IDX","1998","563.600000754","10111600","239600","","","","","","","162.165283851795","18.8502374840112","0.676560473312346","43.8856987905288","17.7291707557753","0","16.4925010838601","","","5413315","0.79367368899304","","","","","0.0303250979918526","","","","","","","","589913","0.0864901501722965","","","","","","","","","","","","",""
"Isle of Man","IMN","2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","380","4544.91089582586","",""
"India","IND","2005","774.04","27879461","330484","","","","","","4982092","468.025754019185","25.1655823468259","66.8596364733894","15.078473456521","10.5451501838872","2.42071609823714","3.54444034564092","1348000","0.117461514","50176509","4.372261674","1.1086732255","7.6368756336","43.4233516111529","22657849759.0139","2.388075","1542","3407","","979440000","1526510000","","36.88","90140000","7.854585245","","579100000","1526510000","","63485","439596","615614","","","","","12361","73308"
"Iran, Islamic Rep.","IRN","1968","","","","","","","","","","","","","","","","","","","200000","0.801447","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iraq","IRQ","1992","","53000","500","88.33052277","3.9713322091","7.6981450253","134.772727272727","47.44","","1310.45702976839","4.6798418972332","0","2.76679841897233","17.0474308300395","0","80.1857707509881","","","714389","3.881972103","","","","","0","","","","","","","","0","0","","","","","","","","1912.75864354982","35.2","","","",""
"Israel","ISR","2013","801.730584","5565864","46644","","","","","","2539000","6710.09367826788","4.18609960536186","52.3221682267376","0.0456606111998956","43.0155572225302","0","3.66100257656306","2003000","25.8958135","3399000","43.94401902","11.8445672897","8.7570151725","35.8587827714313","12876100000","70.25031195","489","860","","","","","31.4683132789","9500000","122.8208828","","","","","1153","1058","2376.2","","","7740","960.35734226689","13838","3325"
