"Country Name","Country Code","Year","average_value_Adolescents out of school (% of lower secondary school age)","average_value_Adolescents out of school, female (% of female lower secondary school age)","average_value_Adolescents out of school, male (% of male lower secondary school age)","average_value_Current education expenditure, primary (% of total expenditure in primary public institutions)","average_value_Current education expenditure, secondary (% of total expenditure in secondary public institutions)","average_value_Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)","average_value_Current education expenditure, total (% of total expenditure in public institutions)","average_value_Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)","average_value_Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)","average_value_Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","average_value_Expenditure on primary education (% of government expenditure on education)","average_value_Expenditure on secondary education (% of government expenditure on education)","average_value_Expenditure on tertiary education (% of government expenditure on education)","average_value_Government expenditure on education, total (% of GDP)","average_value_Government expenditure on education, total (% of government expenditure)","average_value_Government expenditure per student, primary (% of GDP per capita)","average_value_Government expenditure per student, secondary (% of GDP per capita)","average_value_Government expenditure per student, tertiary (% of GDP per capita)","average_value_Population ages 0-14 (% of total population)","average_value_Population ages 15-64 (% of total population)","average_value_Progression to secondary school (%)","average_value_Progression to secondary school, female (%)","average_value_Progression to secondary school, male (%)","average_value_Pupil-teacher ratio, secondary","average_value_Pupil-teacher ratio, tertiary","average_value_School enrollment, secondary (% gross)","average_value_School enrollment, secondary (% net)","average_value_School enrollment, secondary, female (% gross)","average_value_School enrollment, secondary, female (% net)","average_value_School enrollment, secondary, male (% gross)","average_value_School enrollment, secondary, male (% net)","average_value_School enrollment, secondary, private (% of total secondary)","average_value_School enrollment, tertiary (% gross)","average_value_School enrollment, tertiary, female (% gross)","average_value_School enrollment, tertiary, male (% gross)","average_value_Secondary education, teachers","average_value_Secondary education, teachers (% female)","average_value_Secondary education, teachers, female","average_value_Secondary education, vocational pupils","average_value_Secondary education, vocational pupils (% female)","average_value_Tertiary education, academic staff (% female)","average_value_Trained teachers in secondary education (% of total teachers)","average_value_Trained teachers in secondary education, female (% of female teachers)","average_value_Trained teachers in secondary education, male (% of male teachers)"
"New Caledonia","NCL","1996","","","","","","","","","","","","","","","","","","","","","","","","","30.3985068603713","64.636803874092","","","","","","","","","","","","","","","","","","","7840","45.02551","","","",""
"Niger","NER","1978","93.7273101806641","","","","","","","","","","","","","","","","","","","","","","","","48.2931374512353","49.8281337680084","53.89208","37.87568","65.02335","26.19271","6.81739","2.77555990219116","2.53561","1.51239001750946","1.39112","4.15862989425659","3.78873","","0.175929993391037","0.0515699982643127","0.311830013990402","851","21.269100189209","181","1558","24.5828","15.6521701812744","","",""
"Norway","NOR","1971","","","","","","","","","","","","","","","","","","","","","","","","","24.4798757780834","62.5088310177865","","","","9.62497","9.77862","83.5161590576172","","83.071403503418","","83.9404983520508","","","15.7870998382568","9.85639953613281","21.3585205078125","31459","32.9031410217285","10351","59078","45.71414","16.549430847168","","",""
"Norway","NOR","1993","","","","","","","","","","","","","","","","","","","26.2023","7.67664003372192","15.8827199935913","","","","19.150396081531","64.5935589146375","","","","","","112.966087341309","90.64369","111.546508789063","90.80926","114.323593139648","90.48536","","50.1710014343262","54.8873481750488","45.6535186767578","","","","134301","42.56632","","","",""
"Peru","PER","2004","9.50648021697998","9.64085006713867","9.37745952606201","98.638427734375","95.8751831054688","80.6610107421875","93.9277801513672","","","","","","","11.7591495513916","13.2926502227783","12.5134401321411","37.22076","31.75784","13.88347","2.95787000656128","15.273850440979","7.35782","10.60857","12.66781","32.4841109500568","62.1478302386388","98.36119","96.92163","99.73863","16.636","","81.7698211669922","66.03303","81.3015594482422","66.17207","82.2191390991211","65.89962","","32.4950408935547","33.0687408447266","31.9414901733398","147033","43.6303405761719","64151","62912","67.72317","","","",""
"Papua New Guinea","PNG","1962","","","","","","","","","","","","","","","","","","","","","","","","","42.9918661808138","54.3554986600306","","","","","","","","","","","","","","","","","","","","","","","",""
"Papua New Guinea","PNG","1973","","","","","","","","","","","","","","","","","","","","","","","","","43.6690126662567","53.7436747332566","","","","17.59063","","8.43373966217041","","","","","","","1.978639960289","","","1920","","","8456","","","","",""
"Portugal","PRT","2010","","","","98.5280838012695","96.6078491210938","91.5344924926758","96.2088317871094","","","","14.4489097595215","10.626540184021","12.6629800796509","14.4489097595215","10.626540184021","12.6629800796509","26.9713","44.01338","20.15411","5.41248989105225","10.4265604019165","21.00495","34.8872","30.01118","14.9671887413225","66.3700878194513","","","","7.34729","10.59304","106.752136230469","","108.262672424316","","105.310920715332","","16.0754699707031","65.60205078125","71.1614379882813","60.2313804626465","98089","69.1678009033203","67846","183156","42.13021","43.5068283081055","","",""
"Paraguay","PRY","1962","","","","","","","","","","","","","","","","","","","","","","","","","47.7878275949708","48.9477093891871","","","","","","","","","","","","","","","","","","","","","","","",""
"Paraguay","PRY","1968","","","","","","","","","","","","","","","","","","","","","","","","","46.7733877568375","49.7942323841109","","","","","","","","","","","","","","","","","","","","","","","",""
"Post-demographic dividend","PST","2014","2.8998498916626","2.6188600063324","3.16646003723145","93.8585205078125","92.7697982788086","91.303337097168","92.8937072753906","","","","","","","","","","23.055435","37.66577","25.27111","5.14438509941101","12.3071403503418","21.13702","23.775505","26.89935","16.3843715133321","66.0271760863586","97.75039","97.277","97.90123","12.7433","","105.4557","89.23449","105.5654","89.9234","105.3517","88.58304","18.49659","77.1125030517578","84.8243103027344","69.8176803588867","6643491","60.41036","4013357","13400000","43.53338","41.43427","","",""
"French Polynesia","PYF","2017","","","","","","","","","","","","","","","","","","","","","","","","","22.8871938631375","69.2034103338621","","","","","","","","","","","","","","","","","","","","","","","",""
"South Asia","SAS","1966","","","","","","","","","","","","","","","","","","","","","","","","","41.7925366033552","54.954482138154","","","","","","","","","","","","","","","","","","","","","","","",""
"South Asia","SAS","2004","34.2188911437988","36.886848449707","31.784460067749","","","","","","","","","","","","","","","","","2.55604004859924","13.5912351608277","","","","34.3387714756489","61.1122296939583","87.94861","86.19562","89.37663","31.12799","","47.83975","43.5326","43.25929","40.04722","52.03197","46.72312","45.10167","9.41578006744385","7.47384977340698","11.2036199569702","3419731","34.08691","1165681","1144853","22.02491","37.54636","","",""
"Saudi Arabia","SAU","1978","","","","","","","","","","","","","","","","","","","","","","","","","43.7861902231392","53.1037852534653","","","","","11.07392","","","","","","","","5.9526801109314","2.70842003822327","8.71601963043213","","","","","","14.4298696517944","","",""
"Sub-Saharan Africa","SSF","1981","","","","","","","","","","","","","","","","","","","","","","","","","45.3191076943218","51.6516963295628","55.88468","56.90433","55.00859","26.0625","","19.80631","","15.57495","","24.00919","","","2.2849600315094","1.62345004081726","2.94852995872498","421919.8","32.97172","139114.2","1010630","30.87967","","","",""
"Suriname","SUR","1979","","","","","","","","","","","","","","","","","","","","","","","","","41.2337173720382","54.3843954316673","","","","18.41028","","49.8498916625977","","52.6227684020996","","47.141960144043","","","","","","1867","54.3117294311523","1014","5736","36.17503","","","",""
"Sweden","SWE","1966","","","","","","","","","","","","","","","","","","","","","","","","","20.8329246213962","66.2772058087208","","","","","","","","","","","","","","","","","","","","","","","",""
"Sweden","SWE","2004","0.0754899978637695","","","92.7272033691406","92.7931365966797","100","94.6620330810547","","","","","","","30.2351398468018","22.8655204772949","26.5311298370361","26.9065","37.256","28.46181","6.66310977935791","13.0613298416138","23.52314","31.60848","40.00729","17.6498951021806","65.1255069987122","","","","9.45999","11.31689","103.292808532715","98.71966","104.95231628418","100","101.718658447266","97.50517","8.33495044708252","83.7612228393555","102.060737609863","66.2670135498047","75243","57.0737495422363","42944","192615","53.6194","41.693229675293","","",""
"Eswatini","SWZ","2017","","","","","","","","","","","","","","","","","","","","","","","","","38.3444241446295","57.6476811536222","","","","","","","","","","","","","","","","","","","","","","","",""
"Tajikistan","TJK","2012","","","","","","","","","","","","","","","","","","","11.18098","4.01803016662598","16.3705005645752","","","18.22329","35.5437542500891","61.3377296159221","","","","","15.02376","87.0531311035156","","82.3567504882813","","91.5416412353516","","","22.6992301940918","15.5607404708862","29.6919994354248","","","","15072","32.93524","35.6446418762207","","",""
"Timor-Leste","TLS","1992","","","","","","","","","","","","","","","","","","","","","","","","","39.1958355358415","57.6531094308208","","","","","","","","","","","","","","","","","","","","","","","",""
"Tonga","TON","2007","","","","","","","","","","","","","","","","","","","","","","","","","38.0372583616849","56.0815355670153","","","","14.84725","","103.082580566406","","86.0859375","","119.008491516113","","64.0740737915039","","","","982","54.2769889831543","533","","","","","",""
"Tonga","TON","2009","","","","","","","","","","","","","","","","","","","","","","","","","37.6128597555106","56.605063047454","","","","14.96024","","102.514671325684","","115.76432800293","","90.1592864990234","","64.2136764526367","","","","981","54.3323097229004","533","","","","","",""
"Turkey","TUR","2000","11.8047800064087","20.7280292510986","3.07458996772766","","","78.5184326171875","85.6115493774414","","","","","","","","","","","","30.91114","2.52907991409302","6.37583017349243","","","","30.6034149737112","63.3046097233668","","","","","","73.6004409790039","64.45987","61.6823692321777","56.75201","85.2898635864258","72.01984","","","","","","","","1129606","31.29312","","","",""
"Turkey","TUR","2014","5.487380027771","6.27962017059326","4.72498989105225","","","","","0.274789988994598","0.428409993648529","0.350780010223389","","","","13.2298698425293","18.4833602905273","15.8283195495605","","","","","","14.60988","11.23364","38.48285","25.8684066566691","66.4312446568176","99.52882","99.35761","99.69122","19.48105","38.42064","102.870979309082","87.44485","101.441253662109","86.51644","104.249992370605","88.34033","3.47460007667542","","","","559445","49.3916282653809","276319","2513887","45.44524","42.7789115905762","","",""
"Tuvalu","TUV","2016","30.1604309082031","25.274730682373","34.7916717529297","","","","","","","","","","","","","","","","","","","","","","","","","","","8.3806","","71.0309906005859","58.50727","76.7834014892578","63.42412","65.5555572509766","53.82716","","","","","134","55.9701499938965","75","36","58.33333","","45.522388458252","48","42.3728790283203"
"Tanzania","TZA","2003","","","","","","","","","","","","","","","","","","","","","","","","","44.7537634520456","52.6690456781319","27.98752","27.68347","28.29051","","13.80569","","","","","","","","0.945519983768463","0.582740008831024","1.30579996109009","","","","","","16.6740798950195","","",""
"Ukraine","UKR","1963","","","","","","","","","","","","","","","","","","","","","","","","","27.256869305985","65.1006100711045","","","","","","","","","","","","","","","","","","","","","","","",""
"St. Vincent and the Grenadines","VCT","1980","","","","","","","","","","","","","","","","","","","","","","","","","43.6877274625619","50.4981802995048","","","","","6.31707","","","","","","","","2.51897001266479","3.8609299659729","1.14262998104095","","","","","","63.4146308898926","","",""
"Aruba","ABW","2000","7.5594801902771","8.73260974884033","6.40244007110596","64.1095733642578","99.5307006835938","99.9978332519531","85.7465286254883","","","","","","","14.7458696365356","18.2730503082275","16.3950805664063","28.2486","27.69825","10.58496","4.71468019485474","21.8227596282959","13.06282","19.20419","28.73253","23.1792015673671","69.2404213399668","","","","15.25432","9.62195","96.5161666870117","76.83175","98.1132125854492","78.86792","94.9394607543945","74.82148","","29.6505107879639","35.6557388305664","23.5405597686768","405","49.3827209472656","200","939","33.12034","44.5121994018555","100","100","100"
"United Arab Emirates","ARE","2005","","","","","","","","","","","","","","25.0718593597412","15.6665697097778","17.9567699432373","","","","","","","","","18.3412757656828","80.7711260890649","99.87523","99.74306","100","","","","","","","","","","","","","","","","","","","","",""
"American Samoa","ASM","1999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","AUT","1966","","","","","","","","","","","","","","","","","","","","","","","","","23.6942754861104","63.0032751923223","","","","","","","","","","","","","","","","","","","","","","","",""
"Burkina Faso","BFA","1963","","","","","","","","","","","","","","","","","","","","","","","","","41.9889650009418","55.5262011117739","","","","","","","","","","","","","","","","","","","","","","","",""
"Bahamas, The","BHS","1971","","","","","","","","","","","","","","","","","","","","","","","","","41.4379287936557","55.1023929058192","","","","33.41966","","90.7634887695313","","","","","","","","","","641","","","927","","","","",""
"Bosnia and Herzegovina","BIH","1978","","","","","","","","","","","","","","","","","","","","","","","","","30.1728462625986","64.1267365290125","","","","","","","","","","","","","","","","","","","","","","","",""
"Brunei Darussalam","BRN","1994","","","","","","","","","","","","","","","","","","","","","","","","","33.5714828608345","63.8298313376219","","","","11.95649","5.47687","76.2749481201172","66.4349","79.0442199707031","69.57298","73.6303482055664","63.43808","","5.61862993240356","6.62083005905151","4.66129016876221","2413","43.3485298156738","1046","2151","42.49186","16.3701095581055","","",""
"Central Europe and the Baltics","CEB","1975","","","","","","","","","","","","","","","","","","","","","","","","","23.4234958728218","65.9698738020767","98.56645","","","","","80.86828","","81.02115","","80.7222","","","13.9375295639038","14.3618898391724","13.5296001434326","","","","3635311","43.26658","","","",""
"Switzerland","CHE","1980","","","","","","","","","","","","","","","","","","","19.86338","4.36030006408691","","","","","20.01099010922","66.1357910268766","","","","15.81711","","94.5668106079102","","89.229606628418","","99.7128295898438","","","17.9197406768799","10.36851978302","25.5682907104492","41303","40.0019416809082","16522","225424","40.48105","","","",""
"Cote d'Ivoire","CIV","1984","","","","","","","","","","","","","","","","","","","","","","","","","45.4701925172509","51.9341388297109","49.79809","42.54663","54.46426","","","19.3872203826904","","11.6765298843384","","26.9603099822998","","","2.43518996238709","","","","","","21545","44.20051","","","",""
"Cameroon","CMR","1998","","","","","","","","","","","","","","","","","","","","","","","","","45.6669855162075","51.1126975105829","","","","22.80567","","24.7882709503174","","20.8512001037598","","28.6883201599121","","27.971399307251","","","","25766","21.5555400848389","5554","112085","39.50395","","","",""
"Colombia","COL","2001","","","","","","","","","","","","","","","","","44.57196","33.02764","19.87471","3.70867991447449","13.4677200317383","12.96792","","30.36323","32.1103254084047","62.5611154738874","100","","","","11.01901","","","","","","","","25.347469329834","26.3803100585938","24.3234806060791","177177","50.5867004394531","89628","","","33.9587516784668","","",""
"Cuba","CUB","1986","9.63607025146484","9.83071994781494","9.44869041442871","","","","","","","","","","","","","","","","","","","","","","26.0012496196201","65.2853195028741","95.28214","","","11.48823","12.03069","83.4401702880859","67.6805","85.518798828125","70.83282","81.4112777709961","64.60361","","20.0744495391846","21.7131004333496","18.4398803710938","100673","48.1201515197754","48444","348958","48.1482","42.594108581543","","",""
"Curacao","CUW","2016","","","","","","","","","","","","","","","","","","","","","","","","","19.5862205995579","64.6542731540124","","","","","","","","","","","","","","","","","","","","","","","",""
"Dominica","DMA","2007","","","","","","","","","","","","","","","","","","","","","","13.70551","12.50769","","","","97.08084","97.5976","96.56716","15.95096","","95.7139205932617","","99.7865524291992","","91.9616470336914","","25.5580806732178","","","","469","65.2452011108398","306","268","72.76119","","40.5117301940918","40.5228805541992","40.4907989501953"
"East Asia & Pacific (excluding high income)","EAP","1991","","","","","","","","","","","","","","","","","","","","","","","","","30.7477161437047","64.0145898813462","73.251","","","15.04778","","40.51715","","35.98313","","44.83065","","","5.2267599105835","4.31258010864258","6.10551023483276","5268584","36.2114","1907828","8722271","38.90129","29.13867","","",""
"Europe & Central Asia","ECS","1981","","","","","","","","","","","","","","","","","","","","","","","","","23.8732877639435","64.6541592188324","92.60581","","","12.3231","","87.11395","78.95831","86.77803","","87.43698","","","27.8704795837402","27.8846607208252","27.8567695617676","6573506","","","17800000","45.72841","","","",""
"Euro area","EMU","1996","2.56329011917114","3.67506003379822","1.50364995002747","","","","","","","","","","","","","","23.897695","44.67646","19.60685","4.79600501060485","10.7087497711182","","","","17.1730190715845","67.4173846755029","95.754","95.9053","95.62015","12.68141","","105.9584","88.9461","106.5092","89.80216","105.4327","88.13118","","45.8754386901855","47.744010925293","44.0781402587891","2424946","56.43823","1368597","9647973","45.74448","31.49574","","",""
"Eritrea","ERI","2000","44.705020904541","50.3965797424316","39.0602111816406","85.7014694213867","43.9262886047363","47.1395797729492","48.5939788818359","","","","","","","","","","","","","","","","","","45.7102463078255","50.4599950445294","86.32005","84.77524","87.60447","54.06198","16.54","34.5546798706055","27.63756","28.5192794799805","24.75044","40.5532913208008","30.50708","5.61574983596802","1.95606994628906","0.556599974632263","3.37322998046875","2501","11.5553798675537","289","1266","19.66825","10","60.6157493591309","65.7439422607422","59.9457511901855"
"Spain","ESP","1973","7.82322978973389","12.3612699508667","3.47744011878967","","","","","","","","","","","","","","","","","","","","","","27.8049706594897","62.1604895728134","","","","","14.08032","58.8641014099121","52.14207","54.6838302612305","48.32861","62.8828010559082","55.80814","","14.1290302276611","8.80265998840332","19.3337097167969","","","","359069","34.91223","14.7149896621704","","",""
"Estonia","EST","1990","","","","","","","","","","","","","","","","","","","","","","","","","22.183286205491","66.1548408365203","","","","","","104.704170227051","","","","","","","24.7543392181396","","","","","","39343","","","","",""
"Ethiopia","ETH","1981","","","","","","","","","","","","","","","","","40.31084","29.78359","18.58082","","12.4869899749756","","","","45.4751025218394","51.3454449089898","","","","","13.67079","","","","","","","","0.491149991750717","","","","","","","","","","",""
"France","FRA","2011","1.58434998989105","1.38039004802704","1.77843999862671","","","","","","","","","","","25.3732109069824","24.8286399841309","25.1153106689453","","","","","","17.91099","27.17835","36.36891","18.4878270738549","64.3768891595673","","","","12.69115","","106.610641479492","92.86607","107.088279724121","93.70787","106.155799865723","92.06445","26.1503791809082","55.6257286071777","61.9770202636719","49.4734306335449","463976","59.4474716186523","275822","1177758","43.45315","","","",""
"Guinea","GIN","2016","","","","94.0970993041992","89.4920196533203","72.9767913818359","87.6740417480469","","","","","","","","","","40.52155","22.6965","36.68386","2.54455995559692","15.7688598632813","6.81269","","","44.6443386930227","52.465734554428","","","","","","","","","","","","","","","","","","","","","","","",""
"Equatorial Guinea","GNQ","1990","","","","","","","","","","","","","","","","","","","","","","","","","42.9535196618224","52.8235541093734","","","","","","","","","","","","","","","","","","","1600","29.6875","","","",""
"Guam","GUM","1969","","","","","","","","","","","","","","","","","","","","","","","","","38.9480741101901","59.2881521209166","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","IDN","2001","27.9088592529297","29.3005790710449","26.5593490600586","","","","","","","","","","","","","","","","","2.46003007888794","11.5938901901245","","","","30.4519831995178","64.7868243453215","78.36208","79.19007","77.55149","14.25666","13.88153","55.5403594970703","49.59","55.0186805725098","49.27326","56.0465507507324","49.89734","42.7035903930664","14.1836099624634","12.3156604766846","16.0033493041992","1040081","40.1410102844238","417499","1933937","43.23652","40.7620887756348","","",""
"Indonesia","IDN","2015","","","","87.5807266235352","92.7748184204102","77.7563095092773","88.1338424682617","0.0204300004988909","0.0440299995243549","0.0321299992501736","8.06571960449219","8.90721988677979","8.48301029205322","8.89855003356934","9.59994029998779","9.24635982513428","42.59993","26.99605","15.80023","3.58360004425049","20.5032997131348","13.28127","10.52216","20.76979","27.4509726744832","67.1655921852769","","","","","30.54161","86.1227493286133","75.77185","86.2891464233398","76.28108","85.9648208618164","75.28854","41.1864318847656","33.2507209777832","35.0478897094727","31.5122699737549","","","","4211245","42.75921","42.8605499267578","","",""
"Iraq","IRQ","1997","","","","","","","","","","","","","","","","","","","","","","","","","43.6342858304927","52.8186007800342","","","","","","","","","","","","","","","","","","","","","","","",""
"Israel","ISR","2003","","","","89.9922714233398","92.7660217285156","90.296501159668","92.4063186645508","","","","","","","","","","35.89366","28.91268","18.46707","6.34953022003174","13.5619096755981","21.74141","18.324","26.0644","27.9021128718996","62.0618809902054","99.9743","99.94744","100","9.83352","","106.648941040039","99.65913","105.421463012695","99.30306","107.823989868164","100","","57.401439666748","65.6144104003906","49.6050910949707","68241","71.2973098754883","48654","124629","41.66045","","","",""
"Italy","ITA","1995","","","","","","","","","","","","","","","","","23.53933","46.70981","15.7263","4.31864976882935","8.59517002105713","","","","15.0001763026563","68.4379819026722","99.81947","100","99.65113","9.55936","23.19476","88.6399917602539","","88.5189514160156","","88.7554702758789","","","41.478889465332","44.2770195007324","38.7742691040039","504816","61.2775688171387","309339","2081453","46.83416","31.5585098266602","","",""
"Kyrgyz Republic","KGZ","2007","8.05624008178711","7.83662986755371","8.27025985717773","","","89.46533203125","87.3180770874023","","","","","","","","","","","","15.90341","6.46700000762939","21.8514595031738","","","22.63517","30.1655237489758","64.5898111099624","99.85397","99.70188","99.99814","13.56318","17.77398","86.2244033813477","80.37718","86.3147811889648","80.67316","86.1361083984375","80.088","1.3561999797821","42.9412002563477","48.5671081542969","37.4044303894043","52614","74.4459609985352","39169","29319","32.6239","56.0810813903809","79.0949172973633","79.5705795288086","77.7091903686523"
"Kiribati","KIR","2019","","","","","","","","","","","","","","","","","","","","","","","","","35.8383075693417","60.0794177167831","","","","","","","","","","","","","","","","","","","","","","","",""
"Liberia","LBR","1989","","","","","","","","","","","","","","","","","","","","","","","","","45.1819214586189","51.51433870846","","","","","","","","","","","","","","","","","","","","","","","",""
"Least developed countries: UN classification","LDC","2016","35.8830108642578","36.9851913452148","34.8026008605957","","","","","","","","","","","","","","","","","3.06023001670837","15.3471603393555","","","","40.0132675396953","56.4886452469692","80.04879","79.70665","80.11996","24.75304","","45.96686","37.99336","43.59204","36.67048","48.29499","39.29096","36.64836","9.95617961883545","8.18970966339111","11.709939956665","2504747","27.34392","684896","3087223","37.92618","24.65185","58.6848793029785","69.4709701538086","54.625560760498"
"Low & middle income","LMY","1993","","","","","","","","","","","","","","","","","","","","","","","","","34.9396111508564","60.1036322513075","80.02259","78.62542","81.15688","17.5725","","48.41898","","43.39152","","53.21767","","","8.56626987457275","7.68926000595093","9.40935039520264","16000000","47.8668","7639219","26400000","42.57236","35.72707","","",""
"Late-demographic dividend","LTE","1994","","","","","","","","","","","","","","","","","","","","","","","","","28.1018509946672","65.4021814499495","85.83874","84.80567","86.77788","14.38821","","61.87634","","60.27733","","63.40245","","","9.26346015930176","8.911789894104","9.59955024719238","9237124","54.45664","5030228","18000000","46.5461","38.99581","","",""
"Lithuania","LTU","1962","","","","","","","","","","","","","","","","","","","","","","","","","27.1376344947326","64.5307360822149","","","","","","","","","","","","","","","","","","","","","","","",""
"Macao SAR, China","MAC","2018","2.48483991622925","1.1672500371933","3.71819996833801","","","80.178337097168","81.2330017089844","","","","","","","","","","","","","2.7386999130249","14.6670303344727","","","","13.654066582652","75.8617304903457","","","","9.75724","14.37169","101.036636352539","86.42111","100.902946472168","88.4108","101.161849975586","84.55769","95.9861679077148","90.657096862793","104.460990905762","77.4285278320313","2727","58.7458686828613","1602","936","34.50855","37.3860206604004","91.3458023071289","92.4469375610352","89.7777786254883"
"Middle East & North Africa","MEA","1982","","","","","","","","","","","","","","","","","","","23.30029","5.60830020904541","","","","","43.6072117731012","52.7526486663652","82.48245","81.43792","83.26743","19.81772","","44.80382","38.74966","35.26385","33.09011","53.86475","44.08273","","11.2866697311401","7.97943019866943","14.4196300506592","647449.8","34.03613","220366.9","1477382","35.5644","27.31435","","",""
"Mexico","MEX","1990","22.216890335083","","","","","","","","","","","","","","","","25.98012","28.98346","16.39076","2.32498002052307","","","","","39.2066143064569","56.4936616851513","80.71521","","","16.93628","9.87485","56.109260559082","46.72132","55.3024597167969","","56.9211807250977","","","15.424880027771","","","401224","","","849649","63.22022","","","",""
"Mexico","MEX","2018","7.78976011276245","6.78544998168945","8.75823020935059","","","","","0.0579699985682964","0.111489996314049","0.0829700008034706","14.8643703460693","17.329870223999","16.0160598754883","15.3417596817017","17.7133598327637","16.4495906829834","","","","","","","","","26.5568481908521","66.2194668282759","","","","","","105.103363037109","","109.587608337402","","100.758712768555","","13.2743396759033","41.5228004455566","42.3089981079102","40.7470817565918","833944","50.7068786621094","422867","","","","95.6354370117188","96.1283264160156","95.1284103393555"
"Middle income","MIC","1977","","","","","","","","","","","","","","","","","","","","","","","","","39.1387498802268","56.4648409947957","","","","17.3667","","42.62711","","36.27669","","48.6829","","","7.10359001159668","6.34137010574341","7.83117008209229","10000000","46.80428","4689293","13400000","42.91609","36.78592","","",""
"Mozambique","MOZ","1963","","","","","","","","","","","","","","","","","","","","","","","","","42.4872171968386","54.1408130625885","","","","","","","","","","","","","","","","","","","","","","","",""
"Niger","NER","1981","90.7069931030273","","","","","","","","","","","","","","","","","","","","","","","","48.4309518382207","49.6056024744857","","","","30.26558","6.40625","4.45944976806641","3.50079","2.45639991760254","1.99391","6.71349000930786","5.19651","","0.329759985208511","0.109669998288155","0.656029999256134","1284","20.7943897247314","267","2351","24.20247","12.9464302062988","","",""
"Nigeria","NGA","1990","","","","","","","","","","","","","","","","","","","","","","","","","44.9739241034129","52.1448245476301","","","","22.10538","","24.7213191986084","","21.4962196350098","","27.8587398529053","","","","","","141377","32.5894584655762","46074","216726","44.45659","","","",""
"Oman","OMN","1996","","30.4147796630859","","","","","","","","","","","","","","","42.64121","51.74586","5.61293","3.18452000617981","8.03901958465576","","","","39.226496364659","58.6386629313251","99.06667","98.96578","99.16463","17.04004","9.08271","68.2229232788086","","66.1329574584961","","70.2532577514648","","","6.06733989715576","6.14567995071411","5.99957990646362","11438","47.1148796081543","5389","1791","0","","","",""
"Other small states","OSS","1966","","","","","","","","","","","","","","","","","","","","","","","","","38.9138179135577","55.8619214583459","","","","","","","","","","","","","","","","","","","","","","","",""
"Philippines","PHL","1966","","","","","","","","","","","","","","","","","","","","","","","","","47.3931419297065","49.6229622338964","","","","","","","","","","","","","","","","","","","","","","","",""
"Paraguay","PRY","1989","","","","","","","","","","","","","","","","","","","","","","","","","41.4969314650911","54.4773520773585","","","","","","30.1769599914551","","31.0411796569824","","29.344970703125","","","7.99953985214233","","","","","","9000","40.07778","","","",""
"Post-demographic dividend","PST","1994","4.56859016418457","4.70787000656128","4.43577003479004","","","","","","","","","","","","","","24.819975","42.561285","20.164175","5.08848023414612","11.4180402755737","","","","19.4470313826951","67.0880520244326","97.26067","96.96003","97.56197","13.68019","","100.7282","84.31308","101.0219","84.64188","100.4481","84.01073","","51.7439804077148","53.7465705871582","49.8215599060059","6510622","54.01537","3516736","16800000","46.15471","32.59652","","",""
"Russian Federation","RUS","2006","","","","","","","","","","","","","","","","","","","21.89651","3.86626005172729","12.4258003234863","","","13.21028","14.9234644992998","71.2577342037478","","","","8.99245","13.98137","82.7076034545898","","82.0583419799805","","83.3282012939453","","0.619249999523163","72.7966690063477","84.3713226318359","61.6198883056641","1284226","80.4653472900391","1033357","1957642","37.14872","56.9038505554199","","",""
"Sierra Leone","SLE","1965","","","","","","","","","","","","","","","","","","","","","","","","","38.9178137953663","57.222993685958","","","","","","","","","","","","","","","","","","","","","","","",""
"El Salvador","SLV","1964","","","","","","","","","","","","","","","","","","","","","","","","","45.8661233105745","50.8611660223639","","","","","","","","","","","","","","","","","","","","","","","",""
"El Salvador","SLV","1996","","","","","","","","","","","","","","","","","","","","","","","","","37.5850141073593","57.5023488832392","","","","","18.92279","","","","","","","","21.1332302093506","20.7005805969238","21.589879989624","","","","","","28.9744892120361","","",""
"Serbia","SRB","1980","","","","","","","","","","","","","","","","","","","","","","","","","24.6995328173947","66.0854480105843","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-Saharan Africa","SSF","1964","","","","","","","","","","","","","","","","","","","","","","","","","43.5353397490527","53.4398941319927","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-Saharan Africa","SSF","1973","","","","","","","","","","","","","","","","","","","","","","","","","44.629650912565","52.3513674659449","61.94793","","59.52645","23.60389","","13.87151","","11.31797","","16.4058","","","1.49100995063782","1.17233002185822","1.80913996696472","262718.5","","","466576.9","31.51811","","","",""
